DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
171243,171243,Mk10,15:05:42 06-Jun-2017,,,A,47.6730,-122.1400,CRC 56857.7716,15:05:42 06-Jun-2017,Status,4,188,196,241,105,0,18,49,7,230,128,5,0,80,128,129,64,0,3,222,25,128,21,128,3,127,192,,,,,
171243,171243,Mk10,15:27:42 06-Jun-2017,,,3,47.6770,-122.1370,CRC 48288.32609,15:27:42 06-Jun-2017,Status,6,188,210,246,233,0,40,49,231,213,64,5,0,80,128,129,60,0,3,188,160,128,4,128,3,127,192,,,,,
171243,171243,Mk10,17:09:42 06-Jun-2017,,,B,47.6750,-122.1310,CRC 46343.49037,17:09:42 06-Jun-2017,Status,6,180,225,18,105,0,142,49,215,213,64,5,0,16,128,129,68,0,3,181,7,128,20,128,3,255,192,,,,,
171243,171243,Mk10,17:59:42 06-Jun-2017,,,3,47.6780,-122.1380,CRC 38378.23921,17:59:42 06-Jun-2017,Status,6,180,239,30,201,0,192,49,231,213,64,5,0,80,128,129,68,0,3,149,234,129,20,128,3,127,192,,,,,
171243,171243,Mk10,19:35:42 06-Jun-2017,,,3,47.6770,-122.1340,CRC 20411.18184,19:35:42 06-Jun-2017,Status,6,180,249,56,233,1,32,49,231,229,68,5,0,80,128,129,60,0,3,79,187,128,80,128,3,127,200,,,,,
171243,171243,Mk10,09:18:59 18-Oct-2017,,,1,13.4950,144.7640,CRC 46071.53935,09:10:14 18-Oct-2017,Fast-GPS,123,63,118,164,148,163,165,228,237,153,6,196,183,58,40,237,227,0,239,11,252,189,228,228,243,6,74,50,203,113,190,
171243,171243,Mk10,09:22:49 18-Oct-2017,,,1,13.4950,144.7640,CRC 57587.1066,09:22:49 18-Oct-2017,Status,4,204,96,115,227,12,255,128,19,140,46,243,143,217,134,12,62,179,255,224,243,237,133,235,224,185,255,,,,,
171243,171243,Mk10,11:03:32 18-Oct-2017,,,B,13.4930,144.7640,CRC 39168.63792,02:00:00 18-Oct-2017,DiveDepth,57,144,6,164,32,75,132,2,0,0,0,0,64,64,128,,,,,,,,,,,,,,,,,
171243,171243,Mk10,17:22:08 18-Oct-2017,,,B,13.4900,144.7630,CRC 29830.4915,00:00:00 19-Feb-2017,TAD,23,72,100,166,5,128,112,164,68,80,47,77,192,124,64,139,123,111,224,,,,,,,,,,,,,
171243,171243,Mk10,20:22:35 18-Oct-2017,,,B,13.4920,144.7630,CRC 50073.55577,12:00:00 18-Oct-2017,DiveDepth,60,57,150,164,192,53,147,2,8,0,32,,,,,,,,,,,,,,,,,,,,,
171243,171243,Mk10,23:39:22 18-Oct-2017,,,B,13.4940,144.7650,CRC 16642.33841,02:55:02 26-Oct-2017,Fast-GPS,116,16,38,180,39,112,148,219,196,46,107,41,55,214,236,14,82,119,193,169,67,124,38,,,,,,,,,
171243,171243,Mk10,17:13:57 19-Oct-2017,,,A,13.4970,144.7830,CRC 3462.55550,,DiveDuration,64,216,96,33,148,208,254,111,166,117,48,174,119,82,243,,,,,,,,,,,,,,,,,
171243,171243,Mk10,19:21:39 19-Oct-2017,,,A,13.4970,144.7660,CRC 14330.14888,15:26:20 18-Oct-2017,Fast-GPS,115,127,166,164,245,165,36,21,19,254,80,66,164,249,183,165,143,80,244,77,37,14,17,236,208,249,96,109,125,5,41,
171243,171243,Mk10,19:25:53 19-Oct-2017,,,A,13.4970,144.7660,CRC 45953.60845,08:00:00 22-Oct-2015,DiveDuration,75,56,30,172,128,107,129,35,0,8,16,,,,,,,,,,,,,,,,,,,,,
171243,171243,Mk10,19:27:10 19-Oct-2017,,,A,13.4970,144.7660,CRC 50073.48753,12:00:00 26-Oct-2017,DiveDepth,60,57,150,180,196,53,214,11,65,69,136,,,,,,,,,,,,,,,,,,,,,
171243,171243,Mk10,20:13:00 19-Oct-2017,,,B,13.5000,144.7830,CRC 4566.47707,02:00:00 18-Oct-2017,DiveDuration,65,29,102,164,40,128,0,8,0,16,0,144,26,157,49,,,,,,,,,,,,,,,,,
171243,171243,Mk10,23:16:39 19-Oct-2017,,,B,13.4990,144.7840,CRC 18779.46276,03:03:57 12-Feb-2015,Fast-GPS,116,149,188,152,56,62,68,221,140,36,228,192,37,229,28,115,13,24,223,14,183,64,142,140,185,245,176,49,19,31,75,
171243,171243,Mk10,00:16:31 20-Oct-2017,,,B,13.4980,144.7830,CRC 28034.42556,04:29:31 19-Oct-2017,Fast-GPS,118,216,38,166,69,215,228,213,188,132,15,202,98,68,34,127,152,171,75,147,2,183,128,210,23,3,163,120,137,245,155,
171243,171243,Mk10,04:23:22 20-Oct-2017,,,B,13.4890,144.7920,CRC 57890.56795,16:51:49 19-Oct-2017,Fast-GPS,126,34,38,167,7,60,103,235,62,72,119,195,125,146,180,12,76,1,153,42,39,41,200,10,160,25,134,240,10,144,164,
171243,171243,Mk10,08:59:34 20-Oct-2017,,,3,13.4920,144.7710,CRC 21272.33300,15:00:00 18-Oct-2017,TAT,37,49,134,164,252,154,102,56,0,82,190,,,,,,,,,,,,,,,,,,,,,
171243,171243,Mk10,17:03:28 20-Oct-2017,,,B,13.4710,144.7560,CRC 28034.64841,17:03:28 20-Oct-2017,Fast-GPS,118,216,38,166,69,223,230,205,253,57,207,203,179,253,14,151,126,177,236,2,200,134,20,177,26,61,174,66,97,19,165,
171243,171243,Mk10,18:33:56 20-Oct-2017,,,B,13.4850,144.7670,CRC 46071.2887,09:00:00 18-Oct-2017,DiveDepth,59,63,118,164,148,177,165,228,237,153,2,212,183,58,40,237,227,0,127,219,231,11,92,112,241,215,94,6,3,146,82,
171243,171243,Mk10,21:45:37 20-Oct-2017,,,B,13.4840,144.7650,CRC 27854.63031,06:00:00 18-Oct-2017,DiveDuration,70,204,230,164,96,62,129,2,12,24,33,72,2,130,139,199,43,87,20,,,,,,,,,,,,,
171243,171243,Mk10,07:43:18 21-Oct-2017,,,B,13.4890,144.7560,CRC 58531.56289,05:00:00 31-Jan-2015,TAT,46,74,60,126,87,7,25,163,132,246,102,,,,,,,,,,,,,,,,,,,,,
171243,171243,Mk10,07:43:18 21-Oct-2017,,,B,13.4900,144.7590,CRC 15606.62976,,DiveDepth,51,207,104,231,243,171,129,201,97,33,143,,,,,,,,,,,,,,,,,,,,,
171243,171243,Mk10,18:23:26 21-Oct-2017,,,B,13.4950,144.7560,CRC 39931.28609,,DiveDuration,73,191,191,195,131,191,174,61,222,52,248,1,0,6,77,3,255,190,2,,,,,,,,,,,,,
171243,171243,Mk10,21:34:18 21-Oct-2017,,,B,13.4940,144.7560,CRC 5387.40444,00:00:00 20-Oct-2017,TAD,17,80,182,168,7,0,4,7,107,185,193,92,124,2,70,,,,,,,,,,,,,,,,,
171243,171243,Mk10,21:52:07 21-Oct-2017,,,B,13.4940,144.7570,CRC 39858.14740,12:55:05 21-Oct-2017,Status,4,6,170,205,197,155,178,137,154,77,136,141,149,164,73,177,85,202,70,218,82,233,211,100,153,65,123,,,,,
171243,171243,Mk10,05:33:49 22-Oct-2017,,,B,13.4860,144.7810,CRC 16944.60272,19:00:00 26-Aug-2017,DiveDepth,52,35,6,53,60,247,3,183,46,229,109,,,,,,,,,,,,,,,,,,,,,
171243,171243,Mk10,08:59:18 22-Oct-2017,,,B,13.4900,144.7750,CRC 5122.11333,18:00:00 21-Oct-2017,DiveDuration,65,64,38,171,46,108,137,212,22,56,141,18,218,24,24,,,,,,,,,,,,,,,,,
171243,171243,Mk10,18:09:38 22-Oct-2017,,,3,13.4840,144.7610,CRC 30043.59033,16:48:43 30-Oct-2017,Fast-GPS,119,85,182,189,7,10,215,250,103,55,51,236,147,169,171,226,135,79,143,216,208,152,56,,,,,,,,,
171243,171243,Mk10,18:21:35 22-Oct-2017,,,3,13.4840,144.7610,CRC 1477.56140,12:00:00 21-Oct-2017,DiveDuration,64,92,86,170,192,107,1,140,30,0,32,,,,,,,,,,,,,,,,,,,,,
171243,171243,Mk10,21:24:27 22-Oct-2017,,,B,13.4790,144.7520,CRC 20954.21074,17:16:54 20-Oct-2017,Fast-GPS,117,29,166,169,21,13,151,116,168,126,225,244,132,23,63,179,145,66,100,16,152,26,80,,,,,,,,,
171243,171243,Mk10,07:04:37 23-Oct-2017,,,B,13.4600,144.7340,CRC 45008.33520,00:00:00 23-Oct-2017,TAD,26,253,6,174,9,0,2,134,114,25,195,125,19,254,253,,,,,,,,,,,,,,,,,
171243,171243,Mk10,08:22:19 23-Oct-2017,,,B,13.4810,144.7440,CRC 33602.35063,12:00:00 22-Oct-2017,DiveDuration,72,52,38,172,192,76,129,2,37,238,223,255,63,224,64,,,,,,,,,,,,,,,,,
