DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
178571,178571,Mk10,DS,11,0,1,60,60,17:06:58 11-Feb-2019,NK,2,47.6939,-122.1486,47.6939,-122.1486,58,,401677479,-121
178571,178571,Mk10,DS,12,0,1,65,60,17:07:48 11-Feb-2019,NN,2,47.6909,-122.1496,47.6909,-122.1496,56,,401677471,-117
178571,178571,Mk10,DS,12,0,0,65,60,17:19:48 11-Feb-2019,MA,3,47.6774,-122.1383,47.6774,-122.1383,56,,401677471,-114
178571,178571,Mk10,DS,13,0,0,60,60,17:50:48 11-Feb-2019,MC,3,47.6764,-122.1389,47.6764,-122.1389,57,,401677483,-110
178571,178571,Mk10,DS,8,0,0,77,60,18:23:54 11-Feb-2019,MB,2,47.6759,-122.1343,47.6759,-122.1343,56,,401677499,-126
178571,178571,Mk10,DS,11,0,1,60,60,18:47:18 11-Feb-2019,NN,3,47.6686,-122.1334,47.6686,-122.1334,56,,401677518,-133
178571,178571,Mk10,DS,10,0,0,73,60,19:01:48 11-Feb-2019,MA,3,47.6769,-122.1350,47.6769,-122.1350,66,,401677519,-115
178571,178571,Mk10,DS,12,0,2,60,60,19:36:48 11-Feb-2019,MC,3,47.6795,-122.1413,47.6795,-122.1413,57,,401677532,-113
178571,178571,Mk10,DS,3,0,1,180,60,20:05:58 11-Feb-2019,MB,A,47.6738,-122.1471,47.6738,-122.1471,6,,401677525,-130
178571,178571,Mk10,DS,5,0,2,75,60,20:34:30 11-Feb-2019,MA,2,47.6854,-122.1421,47.6854,-122.1421,56,,401677526,-125
178571,178571,Mk10,DS,3,0,0,90,60,21:09:58 11-Feb-2019,MC,A,47.6982,-122.1322,47.6982,-122.1322,8,,401677509,-128
178571,178571,Mk10,DS,2,0,0,24,24,07:08:17 08-Sep-2019,NP,,,,,,,,401650000,-131
178571,178571,Mk10,DS,1,0,0,,,07:08:41 08-Sep-2019,SR,,,,,,,,401650000,-134
178571,178571,Mk10,DS,4,0,0,24,15,08:49:51 08-Sep-2019,SR,1,16.4682,131.9923,13.6188,144.8859,50,,401677525,-122
178571,178571,Mk10,DS,6,0,1,15,15,10:10:08 08-Sep-2019,MC,0,13.6039,144.9148,13.6039,144.9148,58,,401677472,-129
178571,178571,Mk10,DS,2,0,2,15,15,10:49:15 08-Sep-2019,MB,B,13.6084,144.9134,13.6084,144.9134,8,,401677471,-135
178571,178571,Mk10,DS,4,0,1,19,15,11:14:30 08-Sep-2019,MA,0,13.6205,144.9136,13.6205,144.9136,56,,401677470,-123
178571,178571,Mk10,DS,5,0,0,114,15,11:51:55 08-Sep-2019,MC,1,13.6065,144.9036,13.6065,144.9036,58,,401677471,-115
178571,178571,Mk10,DS,7,0,0,26,16,19:48:37 08-Sep-2019,NP,0,13.6006,144.9141,13.6006,144.9141,58,,401677474,-124
178571,178571,Mk10,DS,3,0,0,25,20,19:49:24 08-Sep-2019,SR,A,13.6012,144.9132,13.6012,144.9132,6,,401677474,-132
178571,178571,Mk10,DS,4,0,0,17,15,23:37:21 08-Sep-2019,MA,0,13.6225,144.9357,13.6225,144.9357,58,,401677476,-122
178571,178571,Mk10,DS,3,0,0,16,15,23:37:30 08-Sep-2019,NN,A,13.6026,144.9462,13.6026,144.9462,6,,401677462,-127
178571,178571,Mk10,DS,1,0,1,,,19:28:10 09-Sep-2019,SR,B,13.5672,144.9222,13.5672,144.9222,,,401677484,-134
178571,178571,Mk10,DS,2,0,0,36,36,19:35:00 09-Sep-2019,NP,B,13.6436,144.9211,13.6436,144.9211,6,,401677476,-127
178571,178571,Mk10,DS,1,0,1,,,22:21:33 09-Sep-2019,MC,B,13.6363,144.9242,13.6363,144.9242,8,,401677476,-133
178571,178571,Mk10,DS,2,0,1,349,349,06:51:10 10-Sep-2019,NP,B,13.6125,144.9094,13.6125,144.9094,8,,401677474,-126
178571,178571,Mk10,DS,1,0,0,,,07:45:34 10-Sep-2019,SR,B,13.6170,144.9104,13.6170,144.9104,8,,401677474,-132
178571,178571,Mk10,DS,5,0,0,18,15,08:15:31 10-Sep-2019,NK,1,13.6095,144.9135,13.6095,144.9135,56,,401677475,-128
178571,178571,Mk10,DS,3,0,3,19,15,08:32:10 10-Sep-2019,NP,A,13.6090,144.9031,13.6090,144.9031,6,,401677474,-129
178571,178571,Mk10,DS,3,0,2,15,15,12:10:56 10-Sep-2019,MA,A,13.6151,144.9012,13.6151,144.9012,8,,401677474,-125
178571,178571,Mk10,DS,1,0,0,,,20:43:17 10-Sep-2019,NK,B,13.6022,144.9016,13.6022,144.9016,8,,401677472,-125
178571,178571,Mk10,DS,1,0,0,,,21:06:08 10-Sep-2019,NP,B,13.6048,144.8996,13.6048,144.8996,6,,401677474,-131
178571,178571,Mk10,DS,1,0,0,,,22:53:29 10-Sep-2019,MA,B,13.6023,144.9055,13.6023,144.9055,8,,401677479,-133
178571,178571,Mk10,DS,2,0,1,478,478,23:35:23 10-Sep-2019,MC,B,13.6127,144.9156,13.6127,144.9156,8,,401677478,-129
178571,178571,Mk10,DS,1,0,0,,,00:40:18 11-Sep-2019,MA,B,13.6154,144.9205,13.6154,144.9205,8,,401677478,-126
178571,178571,Mk10,DS,1,0,0,,,10:19:01 11-Sep-2019,NN,B,13.6208,144.9599,13.6208,144.9599,8,,401677464,-131
178571,178571,Mk10,DS,2,0,1,199,199,10:48:07 11-Sep-2019,MC,B,13.6259,144.9052,13.6259,144.9052,6,,401677470,-120
178571,178571,Mk10,DS,1,0,1,,,11:18:29 11-Sep-2019,MB,B,13.6258,144.9053,13.6258,144.9053,8,,401677471,-129
178571,178571,Mk10,DS,2,0,0,560,560,19:11:58 11-Sep-2019,NP,B,13.6197,144.9011,13.6197,144.9011,8,,401677475,-129
178571,178571,Mk10,DS,4,0,2,97,15,21:55:06 11-Sep-2019,NK,1,13.6273,144.8958,13.6273,144.8958,58,,401677476,-122
178571,178571,Mk10,DS,4,0,0,138,18,22:56:31 11-Sep-2019,NN,3,13.6214,144.9047,13.6214,144.9047,58,,401677474,-122
178571,178571,Mk10,DS,1,0,0,,,01:04:39 12-Sep-2019,MC,B,13.6196,144.9131,13.6196,144.9131,8,,401677474,-124
178571,178571,Mk10,DS,3,0,0,120,30,06:27:24 12-Sep-2019,NP,A,13.6052,144.9017,13.6052,144.9017,8,,401677482,-125
178571,178571,Mk10,DS,1,0,0,,,09:46:08 12-Sep-2019,MA,B,13.6009,144.9093,13.6009,144.9093,8,,401677482,-129
178571,178571,Mk10,DS,1,0,0,,,10:12:50 12-Sep-2019,NN,B,13.6041,144.9032,13.6041,144.9032,6,,401677484,-140
178571,178571,Mk10,DS,4,0,3,20,16,19:52:37 12-Sep-2019,NK,0,13.6283,144.9207,13.6283,144.9207,58,,401677479,-133
178571,178571,Mk10,DS,2,0,0,24,24,22:56:39 12-Sep-2019,MC,B,13.6390,144.9191,13.6390,144.9191,8,,401677475,-126
178571,178571,Mk10,DS,3,0,0,36,36,00:39:18 13-Sep-2019,MC,A,13.6257,144.9048,13.6257,144.9048,8,,401677477,-120
178571,178571,Mk10,DS,1,0,0,,,09:26:38 13-Sep-2019,MA,B,13.6093,144.8894,13.6093,144.8894,8,,401677475,-134
178571,178571,Mk10,DS,1,0,1,,,11:35:13 13-Sep-2019,NN,B,13.6114,144.8932,13.6114,144.8932,8,,401677473,-133
178571,178571,Mk10,DS,2,0,2,105,105,21:03:15 13-Sep-2019,NK,B,13.6178,144.9002,13.6178,144.9002,8,,401677524,-129
178571,178571,Mk10,DS,1,0,1,,,22:39:33 13-Sep-2019,NN,B,13.6164,144.8980,13.6164,144.8980,8,,401677476,-133
178571,178571,Mk10,DS,1,0,0,,,23:34:00 13-Sep-2019,MA,B,13.6163,144.8978,13.6163,144.8978,8,,401677475,-121
178571,178571,Mk10,DS,1,0,0,,,07:20:15 14-Sep-2019,SR,B,13.6131,144.8956,13.6131,144.8956,8,,401677474,-140
178571,178571,Mk10,DS,4,0,1,16,14,07:48:38 14-Sep-2019,NP,0,13.6264,144.8914,13.6264,144.8914,56,,401677475,-125
178571,178571,Mk10,DS,1,0,0,,,09:06:13 14-Sep-2019,SR,B,13.6242,144.8911,13.6242,144.8911,8,,401677478,-126
178571,178571,Mk10,DS,1,0,0,,,10:46:16 14-Sep-2019,MA,B,13.6198,144.8972,13.6198,144.8972,8,,401677475,-119
178571,178571,Mk10,DS,1,0,1,,,07:37:07 15-Sep-2019,NP,B,13.6044,144.9297,13.6044,144.9297,,,401677482,-129
178571,178571,Mk10,DS,4,0,2,17,14,10:27:17 15-Sep-2019,MA,0,13.6258,144.8647,13.6258,144.8647,58,,401677466,-121
178571,178571,Mk10,DS,5,0,2,15,14,11:15:31 15-Sep-2019,NN,0,13.6192,144.8958,13.6192,144.8958,57,,401677466,-121
178571,178571,Mk10,DS,1,0,1,,,22:51:09 15-Sep-2019,MA,B,13.5948,144.9836,13.5948,144.9836,8,,401677474,-129
178571,178571,Mk10,DS,5,0,0,120,14,23:37:04 15-Sep-2019,MC,2,13.6261,144.9134,13.6261,144.9134,58,,401677483,-118
178571,178571,Mk10,DS,1,0,0,,,00:39:16 16-Sep-2019,MA,B,13.6328,144.9046,13.6328,144.9046,8,,401677485,-126
178571,178571,Mk10,DS,1,0,1,,,09:39:58 16-Sep-2019,SR,B,13.6937,144.8271,13.6937,144.8271,8,,401677485,-136
178571,178571,Mk10,DS,1,0,0,,,10:44:16 16-Sep-2019,MC,B,13.6316,144.8842,13.6316,144.8842,8,,401677475,-122
178571,178571,Mk10,DS,1,0,0,,,18:17:30 16-Sep-2019,NP,B,13.6021,144.8770,13.6021,144.8770,8,,401677474,-132
178571,178571,Mk10,DS,2,0,1,71,71,19:51:15 16-Sep-2019,NK,B,13.6024,144.9092,13.6024,144.9092,8,,401677475,-133
178571,178571,Mk10,DS,3,0,1,35,29,23:47:54 16-Sep-2019,NN,A,13.6110,144.9189,13.6110,144.9189,8,,401677479,-127
178571,178571,Mk10,DS,2,0,2,29,29,23:48:12 16-Sep-2019,MB,B,13.6227,144.9283,13.6227,144.9283,6,,401677480,-133
178571,178571,Mk10,DS,2,0,0,421,421,11:20:29 17-Sep-2019,MA,B,13.6235,144.9004,13.6235,144.9004,8,,401677477,-121
178571,178571,Mk10,DS,1,0,0,,,23:31:30 17-Sep-2019,NN,B,13.6173,144.9284,13.6173,144.9284,,,401677475,-128
178571,178571,Mk10,DS,1,0,0,,,06:57:43 18-Sep-2019,NP,B,13.6133,144.9307,13.6133,144.9307,8,,401677477,-129
178571,178571,Mk10,DS,2,0,1,17,17,09:54:53 18-Sep-2019,NK,B,13.6061,144.9271,13.6061,144.9271,8,,401677476,-128
178571,178571,Mk10,DS,1,0,0,,,10:35:10 18-Sep-2019,NN,B,13.6054,144.9268,13.6054,144.9268,8,,401677475,-137
178571,178571,Mk10,DS,1,0,0,,,23:33:51 18-Sep-2019,MA,B,13.6068,144.9269,13.6068,144.9269,,,401677475,-117
178571,178571,Mk10,DS,3,0,2,314,301,11:22:15 19-Sep-2019,MC,A,13.6206,144.8988,13.6206,144.8988,8,,401677474,-121
178571,178571,Mk10,DS,3,0,0,216,16,19:06:09 19-Sep-2019,SR,,,,,,,,401650000,
178571,178571,Mk10,DS,1,0,0,,,21:03:38 19-Sep-2019,NP,B,13.6135,144.9041,13.6135,144.9041,8,,401677476,-128
178571,178571,Mk10,DS,1,0,1,,,10:57:26 20-Sep-2019,MC,B,13.6135,144.8991,13.6135,144.8991,,,401677474,-132
178571,178571,Mk10,DS,4,0,0,18,16,18:42:55 20-Sep-2019,SR,0,13.6051,144.9049,13.6051,144.9049,58,,401677472,-132
178571,178571,Mk10,DS,1,0,0,,,20:53:52 20-Sep-2019,NP,B,13.6050,144.9040,13.6050,144.9040,8,,401677475,-136
178571,178571,Mk10,DS,4,0,0,162,111,21:28:16 20-Sep-2019,NK,0,13.6128,144.8812,13.6128,144.8812,58,,401677477,-122
178571,178571,Mk10,DS,2,0,0,514,514,23:30:39 20-Sep-2019,MC,B,13.6114,144.9270,13.6114,144.9270,8,,401677475,-122
178571,178571,Mk10,DS,1,0,1,,,00:13:07 21-Sep-2019,MB,B,13.6127,144.9253,13.6127,144.9253,8,,401677472,-130
178571,178571,Mk10,DS,2,0,1,106,106,00:33:27 21-Sep-2019,MA,B,13.6036,144.9090,13.6036,144.9090,6,,401677469,-122
178571,178571,Mk10,DS,1,0,1,,,00:35:13 21-Sep-2019,NN,B,13.6032,144.9090,13.6032,144.9090,6,,401677475,-130
178571,178571,Mk10,DS,2,0,1,56,56,01:14:59 21-Sep-2019,MC,B,13.6265,144.8958,13.6265,144.8958,8,,401677474,-122
178571,178571,Mk10,DS,1,0,1,,,07:59:49 21-Sep-2019,NP,B,13.6653,144.8077,13.6653,144.8077,8,,401677447,-140
178571,178571,Mk10,DS,1,0,0,,,08:41:07 21-Sep-2019,NK,B,13.6460,144.8492,13.6460,144.8492,8,,401677455,-135
178571,178571,Mk10,DS,2,0,1,18,18,19:52:48 21-Sep-2019,SR,B,13.6341,144.8708,13.6341,144.8708,8,,401677471,-131
178571,178571,Mk10,DS,1,0,1,,,20:42:13 21-Sep-2019,NP,B,13.6232,144.8472,13.6232,144.8472,8,,401677473,-127
178571,178571,Mk10,DS,1,0,1,,,21:07:15 21-Sep-2019,NK,B,13.6336,144.8701,13.6336,144.8701,6,,401677473,-129
178571,178571,Mk10,DS,2,0,0,23,23,22:37:03 21-Sep-2019,MA,B,13.6316,144.8527,13.6316,144.8527,8,,401677464,-127
178571,178571,Mk10,DS,1,0,0,,,22:45:44 21-Sep-2019,NN,B,13.6316,144.8593,13.6316,144.8593,6,,401677462,-127
178571,178571,Mk10,DS,2,0,0,43,43,23:13:08 21-Sep-2019,MC,B,13.6420,144.8962,13.6420,144.8962,6,,401677475,-121
178571,178571,Mk10,DS,1,0,0,,,00:13:21 22-Sep-2019,MA,B,13.6419,144.8841,13.6419,144.8841,8,,401677474,-125
178571,178571,Mk10,DS,3,0,1,19,15,06:16:20 22-Sep-2019,NP,A,13.6645,144.8188,13.6645,144.8188,8,,401677463,-135
178571,178571,Mk10,DS,1,0,0,,,08:18:32 22-Sep-2019,SR,B,13.6705,144.8181,13.6705,144.8181,8,,401677473,-126
178571,178571,Mk10,DS,2,0,0,15,15,09:48:00 22-Sep-2019,NK,B,13.6575,144.8617,13.6575,144.8617,8,,401677476,-125
178571,178571,Mk10,DS,1,0,0,,,10:00:36 22-Sep-2019,NN,B,13.6550,144.8561,13.6550,144.8561,6,,401677475,-135
178571,178571,Mk10,DS,1,0,0,,,11:25:35 22-Sep-2019,MA,B,13.6509,144.8510,13.6509,144.8510,8,,401677474,-126
178571,178571,Mk10,DS,2,0,1,15,15,11:58:23 22-Sep-2019,MC,B,13.6375,144.8609,13.6375,144.8609,8,,401677478,-122
178571,178571,Mk10,DS,2,0,0,15,15,18:46:34 22-Sep-2019,NP,B,13.6270,144.8830,13.6270,144.8830,8,,401677464,-130
178571,178571,Mk10,DS,1,0,0,,,20:30:25 22-Sep-2019,NP,B,13.6207,144.8728,13.6207,144.8728,8,,401677469,-132
178571,178571,Mk10,DS,1,0,0,,,20:36:29 22-Sep-2019,NK,B,13.6247,144.8672,13.6247,144.8672,6,,401677470,-135
178571,178571,Mk10,DS,1,0,0,,,20:59:13 22-Sep-2019,SR,B,13.6274,144.8672,13.6274,144.8672,6,,401677474,-131
178571,178571,Mk10,DS,1,0,0,,,22:30:49 22-Sep-2019,NN,B,13.6168,144.8693,13.6168,144.8693,8,,401677472,-129
178571,178571,Mk10,DS,1,0,0,,,22:52:43 22-Sep-2019,MC,B,13.6175,144.8699,13.6175,144.8699,6,,401677474,-122
178571,178571,Mk10,DS,1,0,1,,,23:23:00 22-Sep-2019,MB,B,13.6138,144.8653,13.6138,144.8653,8,,401677468,-131
178571,178571,Mk10,DS,3,0,1,269,17,00:28:21 23-Sep-2019,MC,A,13.6376,144.8468,13.6376,144.8468,8,,401677476,-122
178571,178571,Mk10,DS,1,0,0,,,06:03:13 23-Sep-2019,NP,B,13.6340,144.8193,13.6340,144.8193,8,,401677470,-131
178571,178571,Mk10,DS,1,0,0,,,07:41:36 23-Sep-2019,NP,B,13.6434,144.8268,13.6434,144.8268,8,,401677474,-133
178571,178571,Mk10,DS,1,0,0,,,07:41:36 23-Sep-2019,SR,B,13.6413,144.8352,13.6413,144.8352,,,401677478,-126
178571,178571,Mk10,DS,1,0,0,,,07:48:51 23-Sep-2019,NK,B,13.6416,144.8451,13.6416,144.8451,6,,401677473,-132
