DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
178571,178571,Mk10,Strong,11-Feb-2019,17:02:18,11-Feb-2019,17:02:19
178571,178571,Mk10,Strong,18-Nov-2019,11:10:19,18-Nov-2019,11:10:53
