,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
178571,08-Sep-2019,04:23:00,5,26.000000,31,0,0,6,,,,,,,,,,,,,,15,5,10480,,,,17,28575,,,,7,28594,,,,19,20381,,,,2,3750,,,,9,7574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178571,08-Sep-2019,04:43:00,4,26.000000,32,0,1,7,,,,,,,,,,,,,,15,17,30804,,,,19,4608,,,,7,31718,,,,30,23427,,,,5,22200,,,,13,31356,,,,9,22325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178571,08-Sep-2019,04:44:00,2,26.000000,33,0,1,7,,,,,,,,,,,,,,15,19,29557,,,,6,30102,,,,30,20063,,,,5,17792,,,,17,22350,,,,2,23330,,,,7,26718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178571,08-Sep-2019,05:25:39,1,26.000000,34,0,0,7,,,,,,,,,,,,,,15,5,6245,,,,17,18804,,,,6,17105,,,,7,473,,,,2,14030,,,,13,26448,,,,30,6910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178571,08-Sep-2019,05:36:32,2,26.000000,36,0,0,7,,,,,,,,,,,,,,15,5,25244,,,,17,16441,,,,2,25178,,,,19,14976,,,,7,30639,,,,6,26964,,,,13,31867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178571,08-Sep-2019,05:45:15,3,26.000000,37,2,0,7,,,,,,,,,,,,,,15,6,8231,,,,7,2206,,,,17,29764,,,,30,16749,,,,5,17155,,,,2,2864,,,,13,3055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178571,08-Sep-2019,05:46:46,1,26.000000,38,2,0,7,,,,,,,,,,,,,,15,5,15846,,,,19,21284,,,,13,3530,,,,17,20686,,,,2,4638,,,,7,29779,,,,6,4732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178571,08-Sep-2019,05:49:07,2,26.000000,39,2,0,7,,,,,,,,,,,,,,15,5,27799,,,,13,18031,,,,7,2905,,,,30,25506,,,,2,21220,,,,6,13127,,,,15,31962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178571,08-Sep-2019,05:55:56,1,26.000000,41,2,0,7,,,,,,,,,,,,,,15,5,2294,,,,6,8617,,,,19,27412,,,,17,25667,,,,30,27905,,,,2,8443,,,,7,23925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178571,08-Sep-2019,05:57:12,2,26.000000,42,2,0,7,,,,,,,,,,,,,,15,13,8156,,,,5,10910,,,,17,27780,,,,19,29632,,,,7,28832,,,,30,2675,,,,2,19287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178571,08-Sep-2019,05:59:09,1,26.000000,43,2,0,7,,,,,,,,,,,,,,15,5,9725,,,,19,18611,,,,13,8232,,,,17,16618,,,,2,21428,,,,7,21843,,,,6,9815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
