DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
178559,178559,Mk10,Strong,10-Feb-2019,23:20:19,10-Feb-2019,23:20:20
178559,178559,Mk10,Strong,04-Jan-2020,18:35:22,04-Jan-2020,18:35:52
