DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
178578,178578,,Mk10,,12:59:16 28-Jun-2023,13:00:01 28-Jun-2023,45,,,,CRC,0,0,,,,1.000,0.104,,-0.5,0.0,0,,,,,,,,,,,255,255,255,80,,,,,,,,31,1,0,,,,,,,,,,
178578,178578,,Mk10,,08:13:09 29-Jun-2023,08:13:54 29-Jun-2023,45,3,13.1804,147.0962,CRC,0,0,,,,0.992,0.152,,0.0,12.0,0,,,,,,,,,,,227,21,255,80,16,,,,,,,67,7,0,,,,,,,,,,
178578,178578,,Mk10,,,10:31:52 29-Jun-2023,,A,13.0292,144.8568,CRC,0,0,,784,3.568,1.000,0.160,29.40,0.0,12.0,0,,,,,,,,,,,183,21,255,80,16,,,,,,,67,7,0,,,,,,,,,,
178578,178578,,Mk10,,21:23:51 29-Jun-2023,21:24:36 29-Jun-2023,45,0,13.6271,144.9174,CRC,0,0,,,,0.992,0.148,,-0.5,12.0,0,,,,,,,,,,,148,21,255,80,16,,,,,,,69,7,0,,,,,,,,,,
178578,178578,,Mk10,,10:18:30 30-Jun-2023,10:19:15 30-Jun-2023,45,3,13.6003,144.9251,CRC,1,0,,,,1.000,0.136,,-0.5,16.0,0,,,,,,,,,,,255,21,255,80,16,,,,,,,76,10,0,,,,,,,,,,
178578,178578,,Mk10,,,09:11:25 01-Jul-2023,,B,13.6194,144.7443,,0,0,,1360,3.568,1.016,0.176,29.50,-0.5,24.0,32,,,,,,,,,,,,20,253,78,8467,,,,,,,,,0,,,,,,,,,,
178578,178578,,Mk10,,22:06:00 05-Jul-2023,22:06:46 05-Jul-2023,46,B,14.4673,142.2334,CRC,0,0,,,,0.992,0.168,,0.0,80.0,0,,,,,,,,,,,141,19,255,78,16,,,,,,,193,66,0,,,,,,,,,,
178578,178578,,Mk10,,,01:05:37 10-Jul-2023,,B,15.0292,139.0956,CRC,0,0,,4816,3.568,0.992,0.156,29.60,-0.5,54.0,0,,,,,,,,,,,122,19,255,53,16,,,,,,,238,96,0,,,,,,,,,,
178578,178578,,Mk10,,,19:46:38 10-Jul-2023,,A,15.1282,138.3258,CRC,0,0,,5072,3.504,0.992,0.208,29.60,-1.0,54.0,0,,,,,,,,,,,129,19,255,74,16,,,,,,,243,98,0,,,,,,,,,,
178578,178578,,Mk10,,12:05:55 16-Jul-2023,12:06:40 16-Jul-2023,45,B,16.2197,133.7751,CRC,0,0,,,,0.992,0.192,,-1.0,40.0,0,,,,,,,,,,,74,19,255,63,16,,,,,,,316,149,0,,,,,,,,,,
