,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
171251,25-Oct-2017,07:03:00,5,2.000000,35,6,0,5,,,,,,,,,,,,,,15,5,4183,,,,24,30204,,,,2,11113,,,,13,4588,,,,12,28219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171251,25-Oct-2017,20:14:02,1,2.000000,37,,0,9,,,,,,,,,,,,,,15,1,2368,,,,16,638,,,,7,31368,,,,11,12184,,,,8,19758,,,,30,17755,,,,3,24090,,,,22,11297,,,,27,25530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171251,27-Oct-2017,11:56:39,1,2.000000,43,,0,9,,,,,,,,,,,,,,15,10,29133,,,,29,29499,,,,12,22510,,,,18,29133,,,,32,17324,,,,24,15403,,,,25,3177,,,,14,5078,,,,15,23556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171251,29-Oct-2017,02:48:00,1,2.000000,49,,0,9,,,,,,,,,,,,,,15,7,23058,,,,5,3310,,,,17,5374,,,,19,7412,,,,2,567,,,,6,7516,,,,9,22958,,,,30,19077,,,,13,29816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171251,06-Nov-2017,01:31:30,1,2.000000,78,33,0,6,,,,,,,,,,,,,,15,17,21662,,,,19,30584,,,,9,8071,,,,23,16760,,,,7,25665,,,,6,16312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171251,10-Nov-2017,05:53:50,1,2.000000,93,,0,9,,,,,,,,,,,,,,15,5,15046,,,,15,5788,,,,13,23533,,,,20,15714,,,,2,31764,,,,24,29178,,,,28,19720,,,,6,10571,,,,30,20009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171251,11-Nov-2017,14:02:36,1,2.000000,98,47,0,7,,,,,,,,,,,,,,15,26,16494,,,,29,26955,,,,27,18990,,,,32,24965,,,,31,889,,,,4,6747,,,,25,30205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171251,11-Nov-2017,20:03:15,2,2.000000,99,,0,9,,,,,,,,,,,,,,15,7,16358,,,,22,443,,,,1,18452,,,,3,27390,,,,8,16086,,,,11,15388,,,,16,31072,,,,27,22939,,,,4,30705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171251,12-Nov-2017,21:24:34,1,2.000000,103,,0,9,,,,,,,,,,,,,,15,3,8425,,,,30,8398,,,,22,26754,,,,17,22004,,,,23,28712,,,,7,32658,,,,11,23316,,,,1,17916,,,,28,9232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171251,15-Nov-2017,08:19:35,1,2.000000,112,52,0,8,,,,,,,,,,,,,,15,12,28781,,,,15,25046,,,,24,22604,,,,20,13499,,,,18,15345,,,,25,2142,,,,13,25440,,,,21,10375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
