DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
149121,149121,Mk10,DS,1,0,1,,,12:03:14 22-May-2015,B,B,13.4480,144.6620,,,,,401677437,-135
149121,149121,Mk10,DS,3,0,0,181,95,16:31:45 22-May-2015,P,A,13.4130,144.6590,,,,,401677432,-125
149121,149121,Mk10,DS,1,0,0,,,18:09:50 22-May-2015,P,B,13.4070,144.6610,,,,,401677432,-130
149121,149121,Mk10,DS,1,0,0,,,18:45:21 22-May-2015,K,B,13.4080,144.6590,,,,,401677428,-130
149121,149121,Mk10,DS,2,0,0,195,195,19:19:28 22-May-2015,R,B,13.4130,144.6530,,,,,401677434,-127
149121,149121,Mk10,DS,2,0,0,195,195,19:19:28 22-May-2015,N,B,13.4050,144.6490,,,,,401677433,-127
149121,149121,Mk10,DS,3,0,0,120,111,20:30:36 22-May-2015,K,A,13.4090,144.6410,,,,,401677436,-127
149121,149121,Mk10,DS,1,0,0,,,20:59:52 22-May-2015,R,B,13.4100,144.6400,,,,,401677437,-124
149121,149121,Mk10,DS,1,0,1,,,23:01:01 22-May-2015,B,B,13.4140,144.6330,,,,,401677435,-134
149121,149121,Mk10,DS,1,0,0,,,23:45:43 22-May-2015,A,B,13.4140,144.6340,,,,,401677434,-119
149121,149121,Mk10,DS,2,0,0,43,43,03:46:12 23-May-2015,P,B,13.3730,144.6530,,,,,401677441,-124
149121,149121,Mk10,DS,1,0,0,,,05:17:21 23-May-2015,P,B,13.3710,144.6550,,,,,401677438,-136
149121,149121,Mk10,DS,3,0,2,98,56,07:32:03 23-May-2015,K,A,13.4120,144.6620,,,,,401677432,-123
149121,149121,Mk10,DS,1,0,0,,,07:45:22 23-May-2015,R,B,13.4130,144.6630,,,,,401677430,-124
149121,149121,Mk10,DS,1,0,0,,,08:05:18 23-May-2015,N,B,13.4150,144.6630,,,,,401677433,-126
149121,149121,Mk10,DS,2,0,0,519,519,12:37:47 23-May-2015,A,B,13.4130,144.6450,,,,,401677435,-120
149121,149121,Mk10,DS,2,0,0,74,74,16:23:27 23-May-2015,P,B,13.4290,144.6490,,,,,401677431,-125
149121,149121,Mk10,DS,1,0,0,,,19:00:33 23-May-2015,N,B,13.4240,144.6630,,,,,401677437,-126
149121,149121,Mk10,DS,2,0,0,101,101,19:58:39 23-May-2015,K,B,13.4170,144.6590,,,,,401677436,-125
149121,149121,Mk10,DS,2,0,0,255,255,20:29:38 23-May-2015,R,B,13.4120,144.6610,,,,,401677437,-125
149121,149121,Mk10,DS,1,0,0,,,20:40:21 23-May-2015,N,B,13.4130,144.6610,,,,,401677437,-127
149121,149121,Mk10,DS,1,0,0,,,00:23:34 24-May-2015,B,B,13.4060,144.6610,,,,,401677434,-130
149121,149121,Mk10,DS,1,0,0,,,03:35:11 24-May-2015,P,B,13.4090,144.6620,,,,,401677435,-126
149121,149121,Mk10,DS,3,0,0,283,124,06:14:47 24-May-2015,N,A,13.4150,144.6500,,,,,401677434,-128
149121,149121,Mk10,DS,2,0,0,220,220,07:17:11 24-May-2015,R,B,13.4120,144.6520,,,,,401677434,-129
149121,149121,Mk10,DS,1,0,1,,,07:57:31 24-May-2015,N,B,13.4120,144.6520,,,,,401677434,-126
149121,149121,Mk10,DS,1,0,0,,,08:46:20 24-May-2015,K,B,13.4130,144.6490,,,,,401677431,-128
149121,149121,Mk10,DS,4,0,0,139,58,08:57:20 24-May-2015,R,3,13.4110,144.6550,,,,,401677431,-122
149121,149121,Mk10,DS,2,0,0,43,43,11:26:12 24-May-2015,B,B,13.4060,144.6550,,,,,401677439,-128
149121,149121,Mk10,DS,3,0,0,130,127,12:13:06 24-May-2015,A,A,13.4170,144.6510,,,,,401677433,-117
149121,149121,Mk10,DS,2,0,0,43,43,16:07:25 24-May-2015,P,B,13.4160,144.6400,,,,,401677439,-124
