DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
176780,176780,Mk10,00:53:00 11-Aug-2019,Argos,B,20.9523,135.5076,2390,6074,940,128,,,,,,
176780,176780,Mk10,01:19:05 11-Aug-2019,Argos,B,20.9560,135.4991,2671,6640,1074,124,,,,,,
176780,176780,Mk10,02:04:17 11-Aug-2019,Argos,B,20.9657,135.4787,2674,5396,1325,124,,,,,,
176780,176780,Mk10,07:44:31 11-Aug-2019,Argos,B,21.0035,135.4573,2339,17850,306,71,,,,,,
176780,176780,Mk10,08:23:37 11-Aug-2019,Argos,B,20.9747,135.3483,12279,817252,184,74,,,,,,
176780,176780,Mk10,09:09:21 11-Aug-2019,Argos,B,20.9523,135.2396,7472,40931,1363,78,,,,,,
176780,176780,Mk10,09:24:28 11-Aug-2019,Argos,B,20.9426,135.1823,1235,2234,682,53,,,,,,
176780,176780,Mk10,09:50:00 11-Aug-2019,Argos,B,20.9358,135.1425,2009,2638,1529,60,,,,,,
176780,176780,Mk10,10:45:02 11-Aug-2019,Argos,0,20.9653,135.1923,17334,151040,1989,86,,,,,,
176780,176780,Mk10,10:46:46 11-Aug-2019,Argos,B,20.9293,135.1021,2726,5234,1419,85,,,,,,
176780,176780,Mk10,11:29:53 11-Aug-2019,Argos,B,20.9214,135.0349,1820,3044,1087,77,,,,,,
176780,176780,Mk10,11:30:50 11-Aug-2019,Argos,A,20.9802,135.1395,328,622,173,90,,,,,,
176780,176780,Mk10,12:03:31 11-Aug-2019,Argos,A,20.9963,135.0844,3331,6091,1821,88,,,,,,
176780,176780,Mk10,12:32:35 11-Aug-2019,Argos,B,20.9905,135.0969,4759,7230,3132,66,,,,,,
176780,176780,Mk10,19:30:54 11-Aug-2019,Argos,B,21.1910,134.8630,5574,57979,535,155,,,,,,
176780,176780,Mk10,20:19:38 11-Aug-2019,Argos,B,21.1507,134.8213,5613,15984,1971,154,,,,,,
176780,176780,Mk10,21:10:59 11-Aug-2019,Argos,B,21.1711,134.7762,10260,37827,2782,103,,,,,,
176780,176780,Mk10,21:30:14 11-Aug-2019,Argos,B,21.1684,134.8286,850,7245,99,175,,,,,,
176780,176780,Mk10,23:11:57 11-Aug-2019,Argos,B,21.2102,134.7014,1567,1997,1229,165,,,,,,
176780,176780,Mk10,23:18:11 11-Aug-2019,Argos,2,21.2216,134.7751,288,920,90,10,,,,,,
176780,176780,Mk10,23:56:24 11-Aug-2019,Argos,B,21.2311,134.7800,741,1147,478,115,,,,,,
176780,176780,Mk10,23:56:24 11-Aug-2019,Argos,B,21.2405,134.7588,550,3362,89,164,,,,,,
176780,176780,Mk10,00:32:59 12-Aug-2019,Argos,B,21.2527,134.7134,610,6142,60,83,,,,,,
176780,176780,Mk10,01:43:03 12-Aug-2019,Argos,B,21.2851,134.6421,2237,6746,741,81,,,,,,
176780,176780,Mk10,07:29:18 12-Aug-2019,Argos,B,21.3730,134.5317,2222,107115,46,55,,,,,,
176780,176780,Mk10,09:14:26 12-Aug-2019,Argos,0,21.4348,134.5364,2216,13614,360,14,,,,,,
176780,176780,Mk10,09:32:38 12-Aug-2019,Argos,2,21.4373,134.5411,260,649,104,108,,,,,,
176780,176780,Mk10,11:13:39 12-Aug-2019,Argos,1,21.4567,134.5168,504,1344,188,14,,,,,,
176780,176780,Mk10,11:14:52 12-Aug-2019,Argos,3,21.4610,134.5165,205,493,85,71,,,,,,
176780,176780,Mk10,11:41:42 12-Aug-2019,Argos,B,21.4615,134.5170,734,810,663,85,,,,,,
176780,176780,Mk10,12:12:40 12-Aug-2019,Argos,0,21.4711,134.4751,2949,32823,265,95,,,,,,
176780,176780,Mk10,12:52:20 12-Aug-2019,Argos,1,21.4763,134.4897,630,3694,107,61,,,,,,
176780,176780,Mk10,19:02:38 12-Aug-2019,Argos,B,21.5723,134.3451,8454,10348,6906,57,,,,,,
176780,176780,Mk10,20:03:31 12-Aug-2019,Argos,2,21.6205,134.3633,297,752,117,114,,,,,,
176780,176780,Mk10,20:43:09 12-Aug-2019,Argos,B,21.6371,134.3557,2474,2675,2287,91,,,,,,
176780,176780,Mk10,21:12:38 12-Aug-2019,Argos,A,21.6478,134.3518,2265,8522,602,82,,,,,,
176780,176780,Mk10,21:41:46 12-Aug-2019,Argos,B,21.6472,134.3538,3079,5512,1720,85,,,,,,
176780,176780,Mk10,22:51:06 12-Aug-2019,Argos,B,21.6594,134.3462,1941,34773,108,94,,,,,,
176780,176780,Mk10,22:54:33 12-Aug-2019,Argos,B,21.6615,134.3396,1345,9664,187,95,,,,,,
176780,176780,Mk10,23:37:15 12-Aug-2019,Argos,B,21.6607,134.3386,1582,4140,604,96,,,,,,
176780,176780,Mk10,23:52:14 12-Aug-2019,Argos,B,21.6681,134.3236,1613,2789,932,102,,,,,,
176780,176780,Mk10,00:11:34 13-Aug-2019,Argos,B,21.6807,134.3091,1561,2242,1086,94,,,,,,
