DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
171263,171263,0.500000,Transmission,UT,TATLIMITS,,,,,,,,,,20.000000,22.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000,30.000000,31.000000,33.000000,60.000000,>60.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,TAT,23:00:00 26-Jul-2018,468.000000,1,,,,,12,100,0,0,38.4,3.2,2.6,2.0,1.4,1.7,1.7,2.0,3.7,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,TAT,00:00:00 11-Sep-2019,21.000000,1,,,,,12,100,0,0,0,0,0,0,0,4,63.8,32.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,TAT,00:00:00 12-Sep-2019,20.000000,1,,,,,12,100,0,0,0,0,0,0,0,6.8,86.7,6.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,TAT,00:00:00 15-Sep-2019,22.000000,1,,,,,12,100,0,0,0,0,0,0,0,4.5,95.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,TAT,00:00:00 18-Sep-2019,27.000000,1,,,,,12,100,0,0,0.3,0.3,0.3,0.3,0.3,15.2,82.2,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,TAT,00:00:00 20-Sep-2019,30.000000,1,,,,,12,100,0,0,0,0,0,0,0,0,99.2,0.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,TAT,00:00:00 21-Sep-2019,31.000000,2,,,,,12,100,0,0,0,0,0,0,0,0,94.1,5.9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,TAT,00:00:00 24-Sep-2019,36.000000,1,,,,,12,100,0,0,0,0,0,0,0,3.3,83.2,13.2,0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,TAT,00:00:00 07-Oct-2019,55.000000,1,,,,,12,100,0,0,0,0,0,0,0,1.4,86.4,12.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,TAT,00:00:00 10-Oct-2019,60.000000,1,,,,,12,100,0,0,0,0,0,0,0,26.8,71.8,1.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,TAT,00:00:00 11-Oct-2019,61.000000,1,,,,,12,100,0,0,0,0,0,0.9,4.5,72.2,22.2,0.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,TAT,00:00:00 29-Oct-2019,88.000000,1,,,,,12,100,0,0,0,0,0,0,0,44.6,20.7,34.5,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,TAT,00:00:00 30-Oct-2019,90.000000,1,,,,,12,100.000000,0,0,0,0,0,0,0,50.1,30.3,18.4,1.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,TAT,00:00:00 02-Nov-2019,94.000000,1,,,,,12,100,0,0,0,0,0,0,0,22.3,28.2,49.3,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,TAT,00:00:00 03-Nov-2019,96.000000,1,,,,,12,100,0,0,0,0,0,0,0,0.6,49.0,46.3,4.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,TAT,00:00:00 10-Nov-2019,106.000000,1,,,,,12,100.000000,0,0,0,0,0,0,0,0,36.5,53.1,10.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,TAT,00:00:00 20-Nov-2019,121.000000,1,,,,,12,100,0,0,0,0,0,0,0,22.7,42,34.8,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,TAT,00:00:00 20-Dec-2019,166.000000,2,,,,,12,100,0,0,0,0,0,2.9,56.9,40.0,0.2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,TAT,00:00:00 22-Dec-2019,169.000000,1,,,,,12,100,0,0,0,0,0,48.6,0.4,50.2,0.8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,TAT,00:00:00 26-Dec-2019,175.000000,1,,,,,12,100,0,0,0,0,0,48.3,0.2,35.5,15.7,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,TAT,00:00:00 28-Dec-2019,178.000000,1,,,,,12,100,0,0,0,0,0,19.1,41.2,18.6,20.8,0.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,TAT,00:00:00 17-Jan-2020,207.000000,1,,,,,12,100,0,0,0,0,0,2.6,73.8,23.3,0.3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,TAT,00:00:00 17-Feb-2020,251.000000,1,,,,,12,100.000000,0,0,0,0,4.2,30.6,42.1,22.6,0.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,Percent,23:00:00 26-Jul-2018,468.000000,1,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,Percent,00:00:00 11-Sep-2019,21.000000,1,,,,,24,,3,3,3,10,3,0,3,3,10,10,3,3,3,3,10,3,3,3,3,10,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,Percent,00:00:00 15-Sep-2019,22.000000,1,,,,,24,,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,Percent,00:00:00 18-Sep-2019,27.000000,1,,,,,24,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,Percent,00:00:00 19-Sep-2019,28.000000,1,,,,,24,,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,0,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,Percent,00:00:00 20-Sep-2019,30.000000,1,,,,,24,,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,Percent,00:00:00 24-Sep-2019,36.000000,1,,,,,24,,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,0,3,0,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,Percent,00:00:00 04-Oct-2019,51.000000,2,,,,,24,,3,3,3,3,3,3,3,3,3,0,3,3,0,3,3,0,3,3,0,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,Percent,00:00:00 07-Oct-2019,55.000000,1,,,,,24,,0,3,3,3,3,3,3,3,3,3,3,0,3,3,3,0,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,Percent,00:00:00 10-Oct-2019,60.000000,1,,,,,24,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,Percent,00:00:00 11-Oct-2019,61.000000,1,,,,,24,,3,3,3,3,3,3,3,0,3,3,3,0,3,0,3,3,3,0,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,Percent,00:00:00 29-Oct-2019,88.000000,1,,,,,24,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,Percent,00:00:00 20-Nov-2019,121.000000,1,,,,,24,,3,3,3,3,3,3,3,3,3,3,0,0,0,3,0,0,3,0,0,0,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,Percent,00:00:00 16-Dec-2019,160.000000,1,,,,,24,,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,3,3,3,0,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,Percent,00:00:00 20-Dec-2019,166.000000,2,,,,,24,,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171263,171263,0.500000,Transmission,UT,Percent,00:00:00 26-Dec-2019,175.000000,1,,,,,24,,3,3,3,3,0,3,3,3,3,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
