,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
142752,13-May-2016,00:40:00,4,69.000000,97,5,0,4,,,,,,,,,,,,,,15,29,30531,,,,18,5905,,,,4,27267,,,,15,21644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142752,14-May-2016,16:12:56,2,69.000000,103,17,0,4,,,,,,,,,,,,,,15,13,31170,,,,19,24756,,,,6,19067,,,,17,4879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142752,14-May-2016,22:28:36,1,69.000000,104,17,0,8,,,,,,,,,,,,,,15,12,8221,,,,25,10091,,,,18,11796,,,,20,20028,,,,15,1880,,,,21,9953,,,,10,15743,,,,5,30451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142752,18-May-2016,05:22:14,1,69.000000,116,37,0,5,,,,,,,,,,,,,,15,8,17420,,,,27,20508,,,,31,19071,,,,11,6355,,,,23,14629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142752,20-May-2016,03:07:47,1,70.000000,123,42,0,4,,,,,,,,,,,,,,15,31,32034,,,,4,4460,,,,26,694,,,,16,30083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142752,21-May-2016,04:29:22,1,70.000000,127,46,0,8,,,,,,,,,,,,,,15,27,28120,,,,8,10374,,,,26,7080,,,,16,12187,,,,4,13720,,,,10,28278,,,,32,23177,,,,31,9162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142752,21-May-2016,11:56:22,1,70.000000,128,48,0,6,,,,,,,,,,,,,,15,28,26794,,,,17,8751,,,,3,10409,,,,8,19986,,,,23,20134,,,,30,2808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142752,22-May-2016,01:33:00,2,70.000000,130,52,0,8,,,,,,,,,,,,,,15,10,16066,,,,32,11186,,,,4,31913,,,,26,24326,,,,29,14152,,,,14,21355,,,,21,28408,,,,31,17455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142752,23-May-2016,09:45:31,1,70.000000,135,54,0,7,,,,,,,,,,,,,,15,1,18055,,,,11,24216,,,,28,19399,,,,3,25664,,,,22,18439,,,,30,1189,,,,8,2126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142752,25-May-2016,15:10:11,1,70.000000,143,69,0,5,,,,,,,,,,,,,,15,7,4793,,,,6,7983,,,,30,30769,,,,17,10957,,,,2,17818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142752,27-May-2016,13:19:28,1,70.000000,150,80,0,4,,,,,,,,,,,,,,15,9,23752,,,,6,19647,,,,19,12058,,,,17,24824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142752,28-May-2016,01:54:00,1,71.000000,152,83,0,7,,,,,,,,,,,,,,15,31,22971,,,,32,9097,,,,29,13040,,,,26,3403,,,,4,8738,,,,14,2281,,,,16,23407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
