DeployID,Ptt,Instr,Id,StartMin,StartMax,EndMin,EndMax,MinDurationMinutes,MaxDurationMinutes,LocationQuality,Latitude,Longitude
178577,178577,Mk10,1,11:13:00 20-Apr-2022,11:16:00 20-Apr-2022,13:42:00 20-Apr-2022,13:42:00 20-Apr-2022,146,149,,,
178577,178577,Mk10,2,12:54:00 01-May-2022,12:54:00 01-May-2022,15:48:00 01-May-2022,15:48:00 01-May-2022,174,174,,,
178577,178577,Mk10,3,13:59:00 12-May-2022,13:59:00 12-May-2022,14:21:00 12-May-2022,14:21:00 12-May-2022,22,22,,,
178577,178577,Mk10,4,09:19:00 13-May-2022,09:19:00 13-May-2022,09:54:00 13-May-2022,09:54:00 13-May-2022,35,35,,,
178577,178577,Mk10,5,11:50:00 13-May-2022,11:50:00 13-May-2022,14:04:00 13-May-2022,14:04:00 13-May-2022,134,134,,,
178577,178577,Mk10,6,11:02:00 24-May-2022,11:02:00 24-May-2022,11:43:00 24-May-2022,11:43:00 24-May-2022,41,41,,,
178577,178577,Mk10,7,10:55:00 25-May-2022,10:55:00 25-May-2022,13:42:00 25-May-2022,13:42:00 25-May-2022,167,167,,,
178577,178577,Mk10,8,11:57:00 26-May-2022,11:57:00 26-May-2022,14:20:00 26-May-2022,14:20:00 26-May-2022,143,143,,,
178577,178577,Mk10,9,09:26:00 06-Jun-2022,09:26:00 06-Jun-2022,12:09:00 06-Jun-2022,12:09:00 06-Jun-2022,163,163,,,
178577,178577,Mk10,10,09:52:00 17-Jun-2022,09:52:00 17-Jun-2022,10:17:00 17-Jun-2022,10:17:00 17-Jun-2022,25,25,,,
178577,178577,Mk10,11,09:24:00 18-Jun-2022,09:24:00 18-Jun-2022,11:39:00 18-Jun-2022,11:39:00 18-Jun-2022,135,135,,,
178577,178577,Mk10,12,09:48:00 29-Jun-2022,09:48:00 29-Jun-2022,12:04:00 29-Jun-2022,12:04:00 29-Jun-2022,136,136,,,
178577,178577,Mk10,13,11:52:00 10-Jul-2022,11:52:00 10-Jul-2022,14:05:00 10-Jul-2022,14:05:00 10-Jul-2022,133,133,,,
178577,178577,Mk10,14,16:19:00 16-Jul-2022,16:19:00 16-Jul-2022,16:40:00 16-Jul-2022,16:40:00 16-Jul-2022,21,21,,,
178577,178577,Mk10,15,17:07:00 18-Jul-2022,17:07:00 18-Jul-2022,17:39:00 18-Jul-2022,17:39:00 18-Jul-2022,32,32,,,
178577,178577,Mk10,0,17:14:00 24-Jul-2022,17:14:00 24-Jul-2022,17:39:00 24-Jul-2022,17:39:00 24-Jul-2022,25,25,,,
178577,178577,Mk10,1,04:46:00 01-Aug-2022,04:46:00 01-Aug-2022,05:13:00 01-Aug-2022,05:13:00 01-Aug-2022,27,27,,,
178577,178577,Mk10,2,20:02:00 06-Aug-2022,20:02:00 06-Aug-2022,20:23:00 06-Aug-2022,20:23:00 06-Aug-2022,21,21,,,
178577,178577,Mk10,3,11:35:00 07-Aug-2022,11:35:00 07-Aug-2022,11:57:00 07-Aug-2022,11:57:00 07-Aug-2022,22,22,,,
178577,178577,Mk10,4,04:40:00 12-Aug-2022,04:41:00 12-Aug-2022,05:34:00 12-Aug-2022,05:34:00 12-Aug-2022,53,54,,,
