DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
171259,171259,0.500000,UT,22:00:00 01-Mar-2018,,,,0.0,28.3,Status
171259,171259,0.500000,UT,12:00:00 05-Mar-2018,,,,0.0,27.8,Status
171259,171259,0.500000,UT,22:00:00 06-Mar-2018,,,,0.0,28.1,Status
171259,171259,0.500000,UT,00:00:00 07-Mar-2018,,,,0.0,29.3,Status
171259,171259,0.500000,UT,09:00:00 07-Mar-2018,,,,0.0,27.8,Status
171259,171259,0.500000,UT,21:00:00 07-Mar-2018,,,,0.0,27.8,Status
171259,171259,0.500000,UT,19:00:00 08-Mar-2018,,,,0.0,27.8,Status
171259,171259,0.500000,UT,09:00:00 11-Mar-2018,,,,0.0,28.0,Status
171259,171259,0.500000,UT,23:00:00 11-Mar-2018,,,,0.0,28.0,Status
171259,171259,0.500000,UT,22:00:00 13-Mar-2018,,,,0.0,28.4,Status
171259,171259,0.500000,UT,00:00:00 14-Mar-2018,,,,0.0,28.6,Status
171259,171259,0.500000,UT,07:00:00 14-Mar-2018,,,,0.0,28.6,Status
171259,171259,0.500000,UT,05:00:00 16-Mar-2018,,,,0.0,29.4,Status
171259,171259,0.500000,UT,07:00:00 16-Mar-2018,,,,0.0,28.4,Status
171259,171259,0.500000,UT,09:00:00 16-Mar-2018,,,,0.0,27.9,Status
171259,171259,0.500000,UT,23:00:00 19-Mar-2018,,,,0.0,29.4,Status
171259,171259,0.500000,UT,21:00:00 20-Mar-2018,,,,0.0,27.9,Status
171259,171259,0.500000,UT,09:00:00 22-Mar-2018,,,,0.0,27.9,Status
171259,171259,0.500000,UT,09:00:00 23-Mar-2018,,,,0.0,27.8,Status
171259,171259,0.500000,UT,21:00:00 23-Mar-2018,,,,0.0,28.2,Status
171259,171259,0.500000,UT,23:00:00 24-Mar-2018,,,,0.0,28.1,Status
171259,171259,0.500000,UT,06:00:00 27-Mar-2018,,,,0.0,28.5,Status
171259,171259,0.500000,UT,18:00:00 29-Mar-2018,,,,0.0,27.8,Status
171259,171259,0.500000,UT,07:00:00 31-Mar-2018,,,,0.0,28.3,Status
171259,171259,0.500000,UT,21:00:00 01-Apr-2018,,,,0.0,28.1,Status
171259,171259,0.500000,UT,05:00:00 08-Apr-2018,,,,0.0,29.4,Status
171259,171259,0.500000,UT,08:00:00 08-Apr-2018,,,,0.0,28.1,Status
171259,171259,0.500000,UT,05:00:00 10-Apr-2018,,,,0.0,28.6,Status
171259,171259,0.500000,UT,06:00:00 10-Apr-2018,,,,0.0,28.5,Status
171259,171259,0.500000,UT,20:00:00 13-Apr-2018,,,,0.0,28.1,Status
171259,171259,0.500000,UT,08:00:00 15-Apr-2018,,,,0.0,28.0,Status
171259,171259,0.500000,UT,12:00:00 18-Apr-2018,,,,0.0,28.0,Status
171259,171259,0.500000,UT,19:00:00 18-Apr-2018,,,,0.0,28.0,Status
171259,171259,0.500000,UT,22:00:00 18-Apr-2018,,,,0.0,28.4,Status
171259,171259,0.500000,UT,20:00:00 22-Apr-2018,,,,0.0,27.9,Status
171259,171259,0.500000,UT,09:00:00 25-Apr-2018,,,,0.0,28.2,Status
171259,171259,0.500000,UT,08:00:00 01-May-2018,,,,0.0,28.3,Status
171259,171259,0.500000,UT,23:00:00 01-May-2018,,,,0.0,29.4,Status
171259,171259,0.500000,UT,06:00:00 08-May-2018,,,,0.0,29.6,Status
171259,171259,0.500000,UT,09:00:00 10-May-2018,,,,0.0,28.5,Status
171259,171259,0.500000,UT,19:00:00 11-May-2018,,,,0.0,28.5,Status
171259,171259,0.500000,UT,08:00:00 14-May-2018,,,,0.0,28.6,Status
171259,171259,0.500000,UT,08:00:00 17-May-2018,,,,0.0,28.6,Status
171259,171259,0.500000,UT,21:00:00 18-May-2018,,,,0.0,29.0,Status
171259,171259,0.500000,UT,23:00:00 19-May-2018,,,,0.0,28.9,Status
171259,171259,0.500000,UT,22:00:00 20-May-2018,,,,0.0,29.0,Status
171259,171259,0.500000,UT,00:00:00 21-May-2018,,,,0.0,29.4,Status
171259,171259,0.500000,UT,12:00:00 22-May-2018,,,,0.0,29.2,Status
