DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature
178580,178580,,Mk10,,,00:34:27 29-Apr-2022,,0,13.4558,144.6310,,1,0,,30218,3.504,1.016,0.896,-16.10,-1.5,46.0,0,,,,,,,,,,,,21,255,80,16,,,,,,,,,0,,,,
178580,178580,,Mk10,,09:49:40 29-Apr-2022,09:51:01 29-Apr-2022,81,2,13.4450,144.6159,CRC,0,0,,,,1.016,0.144,,-1.0,54.0,0,,,,,,,,,,,255,21,255,80,16,,,,,,,64,9,0,,,,
178580,178580,,Mk10,,09:25:11 01-May-2022,09:26:32 01-May-2022,81,1,13.4754,144.6552,CRC,0,0,,,,1.016,0.152,,-1.5,30.0,0,,,,,,,,,,,121,21,255,79,16,,,,,,,115,33,0,,,,
178580,178580,,Mk10,,,08:21:11 08-May-2022,,1,13.4467,144.6270,CRC,0,0,,2530,3.504,1.016,0.152,28.80,-1.0,40.0,0,,,,,,,,,,,249,20,255,75,16,,,,,,,165,57,0,,,,
178580,178580,,Mk10,,09:18:50 16-May-2022,09:20:11 16-May-2022,81,A,13.4801,144.6473,CRC,0,0,,,,1.016,0.156,,-1.5,30.0,0,,,,,,,,,,,255,20,255,65,16,,,,,,,249,90,0,,,,
178580,178580,,Mk10,,,10:50:01 21-May-2022,,3,13.4517,144.6248,CRC,0,0,,5346,3.504,1.016,0.144,27.10,-1.5,28.0,0,,,,,,,,,,,255,19,255,74,16,,,,,,,293,115,0,,,,
178580,178580,,Mk10,,,21:19:51 22-May-2022,,1,13.4513,144.6500,CRC,0,0,,5794,3.504,1.016,0.156,29.10,-2.0,38.0,0,,,,,,,,,,,243,19,255,74,16,,,,,,,327,123,0,,,,
178580,178580,,Mk10,,21:26:58 31-May-2022,21:28:19 31-May-2022,81,3,13.4464,144.6165,CRC,0,0,,,,1.016,0.164,,-1.0,32.0,0,,,,,,,,,,,74,18,255,71,16,,,,,,,413,176,0,,,,
178580,178580,,Mk10,,,07:20:31 03-Jun-2022,,2,13.5406,144.7968,CRC,0,0,,8226,3.504,1.016,0.148,29.30,-1.5,46.0,0,,,,,,,,,,,255,17,255,71,16,,,,,,,460,193,0,,,,
178580,178580,,Mk10,,,23:37:35 11-Jun-2022,,0,13.4178,144.8096,CRC,0,0,,10018,3.504,1.016,0.160,29.60,-1.5,30.0,0,,,,,,,,,,,143,18,234,65,16,,,,,,,600,303,0,,,,
178580,178580,,Mk10,,23:17:15 14-Jun-2022,23:18:36 14-Jun-2022,81,1,13.4188,144.7998,CRC,0,0,,,,1.016,0.164,,-2.0,20.0,0,,,,,,,,,,,144,18,208,62,16,,,,,,,637,330,0,,,,
178580,178580,,Mk10,,09:15:41 15-Jun-2022,09:17:02 15-Jun-2022,81,2,13.4127,144.7840,CRC,0,0,,,,1.016,0.164,,-2.0,28.0,0,,,,,,,,,,,145,18,223,62,16,,,,,,,640,332,0,,,,
178580,178580,,Mk10,,,02:04:56 18-Jun-2022,,B,13.4231,144.7977,CRC,0,0,,11170,3.504,1.016,0.212,30.00,-1.5,22.0,0,,,,,,,,,,,147,18,212,50,16,,,,,,,694,378,0,,,,
178580,178580,,Mk10,,,00:47:37 03-Jul-2022,,0,13.4140,144.8009,CRC,0,0,,13410,3.504,1.016,0.196,29.50,-2.0,34.0,0,,,,,,,,,,,68,19,111,50,16,,,,,,,1743,1408,0,,,,
178580,178580,,Mk10,,20:35:31 05-Jul-2022,20:36:53 05-Jul-2022,82,3,13.4134,144.7953,CRC,0,0,,,,1.008,0.208,,-2.0,24.0,0,,,,,,,,,,,95,17,177,50,16,,,,,,,1840,1497,0,,,,
178580,178580,,Mk10,,,22:09:09 20-Jul-2022,,B,13.3906,144.7998,CRC,0,0,,15906,3.504,1.016,0.212,29.90,-2.0,30.0,0,,,,,,,,,,,70,19,162,50,16,,,,,,,2783,2423,0,,,,
178580,178580,,Mk10,,,22:47:32 27-Jul-2022,,3,13.4156,144.7931,CRC,0,0,,16610,3.440,1.016,0.180,29.60,-1.5,26.0,0,,,,,,,,,,,102,20,255,78,16,,,,,,,3103,2733,0,,,,
178580,178580,,Mk10,,00:47:00 28-Jul-2022,00:48:22 28-Jul-2022,82,1,13.4233,144.7824,CRC,0,0,,,,1.016,0.188,,-1.5,22.0,0,,,,,,,,,,,104,19,255,78,16,,,,,,,3103,2733,0,,,,
178580,178580,,Mk10,,,07:44:32 30-Jul-2022,,B,13.4159,144.7932,CRC,0,0,,16994,3.504,1.016,0.200,29.90,-1.5,20.0,0,,,,,,,,,,,121,20,171,50,16,,,,,,,3171,2795,0,,,,
178580,178580,,Mk10,,,22:02:55 01-Aug-2022,,0,13.3983,144.7655,,0,0,,17314,3.504,1.016,0.248,29.40,-2.0,50.0,0,,,,,,,,,,,,20,144,50,274,,,,,,,,,0,,,,
178580,178580,,Mk10,,,22:01:52 02-Aug-2022,,3,13.4191,144.7956,CRC,0,0,,17442,3.504,1.008,0.176,29.50,-2.0,30.0,0,,,,,,,,,,,105,20,156,50,16,,,,,,,3302,2918,0,,,,
178580,178580,,Mk10,,,22:45:46 03-Aug-2022,,A,13.4152,144.7971,CRC,0,0,,17570,3.504,1.016,0.200,29.70,-1.5,20.0,0,,,,,,,,,,,68,20,150,50,16,,,,,,,3336,2951,0,,,,
178580,178580,,Mk10,,22:31:30 08-Aug-2022,22:32:52 08-Aug-2022,82,1,13.4196,144.7876,CRC,0,0,,,,1.016,0.220,,-2.0,28.0,0,,,,,,,,,,,93,20,156,50,16,,,,,,,3500,3103,0,,,,
178580,178580,,Mk10,,,00:50:07 14-Aug-2022,,0,13.4034,144.8059,CRC,0,0,,18914,3.504,1.000,0.180,29.80,-1.5,22.0,0,,,,,,,,,,,62,20,140,50,16,,,,,,,3720,3315,0,,,,
178580,178580,,Mk10,,,09:21:39 19-Aug-2022,,A,13.4130,144.7819,CRC,0,0,,19618,3.504,1.016,0.208,29.80,-2.0,28.0,0,,,,,,,,,,,75,20,151,50,16,,,,,,,4153,3745,0,,,,
178580,178580,,Mk10,,,22:56:42 29-Aug-2022,,0,13.4236,144.7559,CRC,0,0,,20770,3.504,1.008,0.208,29.70,-2.0,18.0,0,,,,,,,,,,,95,21,150,50,16,,,,,,,4710,4291,0,,,,
178580,178580,,Mk10,,22:52:13 01-Sep-2022,22:53:35 01-Sep-2022,82,0,13.4210,144.8340,CRC,0,0,,,,1.008,0.192,,-1.5,20.0,0,,,,,,,,,,,74,21,215,50,16,,,,,,,4808,4383,0,,,,
178580,178580,,Mk10,,23:55:52 05-Sep-2022,23:57:14 05-Sep-2022,82,1,13.4193,144.7973,CRC,0,0,,,,1.016,0.184,,-1.5,24.0,0,,,,,,,,,,,77,20,145,50,16,,,,,,,4943,4509,0,,,,
178580,178580,,Mk10,,07:20:51 06-Sep-2022,07:22:13 06-Sep-2022,82,1,13.4160,144.7855,CRC,0,0,,,,1.016,0.188,,-2.0,18.0,0,,,,,,,,,,,59,21,139,50,16,,,,,,,4944,4509,0,,,,
178580,178580,,Mk10,,,21:15:32 09-Sep-2022,,0,13.4065,144.7769,CRC,0,0,,22306,3.504,1.016,0.200,30.00,-1.0,28.0,0,,,,,,,,,,,86,20,139,50,16,,,,,,,5060,4620,0,,,,
178580,178580,,Mk10,,00:12:30 10-Sep-2022,00:13:52 10-Sep-2022,82,1,13.4205,144.7888,CRC,0,0,,,,1.016,0.188,,-1.0,22.0,0,,,,,,,,,,,73,20,129,50,16,,,,,,,5068,4627,0,,,,
178580,178580,,Mk10,,,08:39:57 13-Sep-2022,,B,13.4181,144.7845,CRC,0,0,,22882,3.440,1.016,0.224,28.70,-1.5,28.0,0,,,,,,,,,,,83,20,125,50,16,,,,,,,5215,4768,0,,,,
178580,178580,,Mk10,,,20:16:12 13-Sep-2022,,0,13.4163,144.8150,CRC,0,0,,22946,3.504,1.008,0.216,29.40,-2.0,28.0,0,,,,,,,,,,,153,20,125,50,16,,,,,,,5251,4803,0,,,,
178580,178580,,Mk10,,,21:28:32 14-Sep-2022,,1,13.4191,144.7978,CRC,0,0,,23074,3.504,1.016,0.168,29.60,-2.0,20.0,0,,,,,,,,,,,91,20,154,78,16,,,,,,,5292,4842,0,,,,
178580,178580,,Mk10,,,21:28:52 14-Sep-2022,,1,13.4191,144.7978,,1,1,,27650,2.672,,,-27.70,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
178580,178580,,Mk10,,08:16:19 15-Sep-2022,08:17:41 15-Sep-2022,82,B,13.4281,144.7757,CRC,0,0,,,,1.016,0.228,,-1.5,22.0,0,,,,,,,,,,,75,20,255,50,16,,,,,,,5297,4845,0,,,,
