DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
149136,149136,SPOT,DS,4,0,0,80,60,17:16:57 04-May-2015,B,2,47.6770,-122.1340,,,,,401677536,-124
149136,149136,SPOT,DS,7,2,0,,,18:09:12 04-May-2015,A,3,47.6790,-122.1400,,,,,401677537,-116
149136,149136,SPOT,DS,4,2,0,,,18:57:27 04-May-2015,B,2,47.6780,-122.1360,,,,,401677534,-122
149136,149136,SPOT,DS,7,5,0,,,19:24:12 04-May-2015,P,2,47.6780,-122.1350,,,,,401677533,-127
149136,149136,SPOT,DS,6,2,0,,,19:43:42 04-May-2015,A,3,47.6790,-122.1350,,,,,401677534,-115
149136,149136,SPOT,DS,10,3,1,,,21:06:12 04-May-2015,P,3,47.6760,-122.1380,,,,,401677530,-118
149136,149136,SPOT,DS,2,0,1,176,176,21:04:00 13-May-2015,B,B,21.4340,-157.9980,,,,,401677530,-128
149136,149136,SPOT,DS,8,1,7,,,00:14:40 14-May-2015,P,1,21.3580,-157.9840,,,,,401677519,-125
149136,149136,SPOT,DS,4,1,4,,,02:54:32 14-May-2015,K,0,21.3560,-157.9660,,,,,401677497,-127
149136,149136,SPOT,DS,6,1,2,,,02:59:40 14-May-2015,N,1,21.3590,-157.9670,,,,,401677495,-124
149136,149136,SPOT,DS,1,0,1,,,19:28:23 29-Jun-2016,R,,,,,,,,,
149136,149136,SPOT,DS,2,0,0,44,44,19:40:09 29-Jun-2016,K,,,,,,,,,
149136,149136,SPOT,DS,5,0,0,43,43,22:49:06 29-Jun-2016,A,,,,,,,,,-120
149136,149136,SPOT,DS,1,0,0,,,04:53:02 30-Jun-2016,P,B,13.5930,144.9250,,,,,401677493,-133
149136,149136,SPOT,DS,1,0,0,,,11:38:48 30-Jun-2016,A,B,13.5990,144.9240,,,,,401677495,-121
149136,149136,SPOT,DS,1,0,0,,,20:02:29 30-Jun-2016,N,B,13.6000,144.9250,,,,,401677496,-133
149136,149136,SPOT,DS,3,0,1,43,43,20:55:02 30-Jun-2016,K,A,13.5980,144.8830,,,,,401677502,-124
149136,149136,SPOT,DS,2,0,0,43,43,08:55:40 01-Jul-2016,R,B,13.5990,144.8670,,,,,401677469,-121
149136,149136,SPOT,DS,1,0,0,,,19:52:14 01-Jul-2016,N,B,13.5880,144.8130,,,,,401677510,-131
149136,149136,SPOT,DS,2,0,0,43,43,21:37:28 01-Jul-2016,N,B,13.5810,144.8910,,,,,401677477,-127
149136,149136,SPOT,DS,4,0,0,43,43,04:25:54 02-Jul-2016,P,1,13.6060,144.9310,,,,,401677494,-121
149136,149136,SPOT,DS,1,0,0,,,06:08:18 02-Jul-2016,P,B,13.6070,144.9240,,,,,401677494,-130
149136,149136,SPOT,DS,1,0,0,,,07:12:58 02-Jul-2016,N,B,13.6060,144.9260,,,,,401677494,-131
149136,149136,SPOT,DS,2,0,0,130,130,08:51:21 02-Jul-2016,N,B,13.6000,144.9260,,,,,401677498,-126
149136,149136,SPOT,DS,2,0,0,43,43,10:53:38 02-Jul-2016,A,B,13.6000,144.9200,,,,,401677497,-118
149136,149136,SPOT,DS,1,0,0,,,11:47:14 02-Jul-2016,B,B,13.6000,144.9180,,,,,401677496,-127
149136,149136,SPOT,DS,1,0,0,,,18:37:13 02-Jul-2016,P,B,13.6010,144.9090,,,,,401677490,-132
149136,149136,SPOT,DS,1,0,1,,,19:33:26 02-Jul-2016,R,B,13.6000,144.9130,,,,,401677490,-133
149136,149136,SPOT,DS,2,0,2,43,43,21:20:28 02-Jul-2016,N,B,13.6000,144.9140,,,,,401677492,-137
149136,149136,SPOT,DS,4,0,1,57,43,07:07:23 03-Jul-2016,K,2,13.5990,144.9350,,,,,401677497,-121
149136,149136,SPOT,DS,2,0,0,43,43,08:49:58 03-Jul-2016,K,B,13.6090,144.9310,,,,,401677492,-127
149136,149136,SPOT,DS,1,0,0,,,09:36:14 03-Jul-2016,R,B,13.6090,144.9310,,,,,401677496,-132
149136,149136,SPOT,DS,1,0,0,,,10:37:54 03-Jul-2016,A,B,13.6090,144.9320,,,,,401677493,-129
149136,149136,SPOT,DS,2,0,0,278,278,12:14:53 03-Jul-2016,A,B,13.6100,144.9300,,,,,401677494,-119
149136,149136,SPOT,DS,1,0,0,,,19:37:16 03-Jul-2016,K,B,13.6050,144.9210,,,,,401677497,-125
149136,149136,SPOT,DS,1,0,0,,,19:37:16 03-Jul-2016,N,B,13.6030,144.9250,,,,,401677496,-125
149136,149136,SPOT,DS,1,0,0,,,20:41:29 03-Jul-2016,R,B,13.6030,144.9230,,,,,401677495,-135
149136,149136,SPOT,DS,4,0,0,72,43,23:02:11 03-Jul-2016,A,0,13.6050,144.9220,,,,,401677499,-121
149136,149136,SPOT,DS,3,0,0,45,44,00:44:21 04-Jul-2016,A,A,13.6060,144.9230,,,,,401677497,-119
149136,149136,SPOT,DS,5,0,0,43,43,04:00:36 04-Jul-2016,P,2,13.6040,144.9290,,,,,401677496,-125
149136,149136,SPOT,DS,2,0,0,43,43,07:18:47 04-Jul-2016,R,B,13.6050,144.9290,,,,,401677495,-136
149136,149136,SPOT,DS,3,0,0,43,43,11:50:11 04-Jul-2016,A,A,13.6050,144.9330,,,,,401677497,-116
149136,149136,SPOT,DS,1,0,0,,,18:20:45 04-Jul-2016,P,B,13.6070,144.9350,,,,,401677496,-129
149136,149136,SPOT,DS,1,0,0,,,19:10:21 04-Jul-2016,K,B,13.6070,144.9350,,,,,401677497,-127
149136,149136,SPOT,DS,2,0,0,94,94,19:19:35 04-Jul-2016,N,B,13.6000,144.9270,,,,,401677495,-130
149136,149136,SPOT,DS,3,0,0,127,125,23:34:18 04-Jul-2016,B,A,13.6030,144.9260,,,,,401677493,-125
149136,149136,SPOT,DS,3,0,0,65,44,00:22:53 05-Jul-2016,A,A,13.6060,144.9200,,,,,401677492,-120
149136,149136,SPOT,DS,2,0,0,43,43,08:03:11 05-Jul-2016,K,B,13.6090,144.9090,,,,,401677494,-127
149136,149136,SPOT,DS,3,0,0,43,43,19:32:05 05-Jul-2016,R,A,13.6090,144.9280,,,,,401677490,-123
149136,149136,SPOT,DS,5,0,0,53,43,20:50:49 05-Jul-2016,N,2,13.6030,144.9320,,,,,401677494,-121
149136,149136,SPOT,DS,2,0,0,43,43,09:40:23 06-Jul-2016,R,B,13.6020,144.9440,,,,,401677493,-128
149136,149136,SPOT,DS,3,0,0,43,43,17:50:30 06-Jul-2016,P,A,13.6010,144.9300,,,,,401677495,-129
149136,149136,SPOT,DS,1,0,0,,,19:04:03 06-Jul-2016,R,B,13.6000,144.9300,,,,,401677496,-126
149136,149136,SPOT,DS,1,0,0,,,20:33:24 06-Jul-2016,N,B,13.6020,144.9280,,,,,401677493,-135
149136,149136,SPOT,DS,7,0,0,50,43,23:40:36 06-Jul-2016,A,1,13.6050,144.9290,,,,,401677493,-118
149136,149136,SPOT,DS,1,0,0,,,00:34:01 07-Jul-2016,B,B,13.6050,144.9290,,,,,401677492,-132
149136,149136,SPOT,DS,1,0,0,,,03:30:34 07-Jul-2016,P,B,13.6060,144.9280,,,,,401677493,-136
149136,149136,SPOT,DS,1,0,0,,,05:06:07 07-Jul-2016,P,B,13.6050,144.9290,,,,,401677492,-130
149136,149136,SPOT,DS,3,0,0,43,43,07:32:09 07-Jul-2016,R,A,13.6000,144.9230,,,,,401677490,-127
149136,149136,SPOT,DS,1,0,0,,,09:29:42 07-Jul-2016,N,B,13.6000,144.9210,,,,,401677493,-130
149136,149136,SPOT,DS,1,0,0,,,10:56:25 07-Jul-2016,A,B,13.6000,144.9220,,,,,401677491,-126
149136,149136,SPOT,DS,2,0,0,43,43,17:44:20 07-Jul-2016,P,B,13.6000,144.9320,,,,,401677492,-124
149136,149136,SPOT,DS,1,0,0,,,19:35:11 07-Jul-2016,K,B,13.6000,144.9310,,,,,401677491,-123
149136,149136,SPOT,DS,6,0,0,43,43,01:01:17 08-Jul-2016,A,1,13.6070,144.9420,,,,,401677498,-123
149136,149136,SPOT,DS,2,0,1,43,43,06:58:18 08-Jul-2016,R,B,13.6100,144.9580,,,,,401677497,-132
149136,149136,SPOT,DS,1,0,0,,,09:23:11 08-Jul-2016,N,B,13.6010,144.9590,,,,,401677490,-128
149136,149136,SPOT,DS,1,0,0,,,15:54:39 08-Jul-2016,P,B,13.5880,144.9600,,,,,401677494,-135
