,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
171241,18-Oct-2017,02:54:00,1,,36,8,0,4,,,,,,,,,,,,,,15,6,30908,,,,23,27798,,,,19,14314,,,,17,4028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171241,19-Oct-2017,06:38:52,1,,40,26,0,7,,,,,,,,,,,,,,15,2,17648,,,,30,11561,,,,5,19098,,,,15,6861,,,,13,4880,,,,29,26393,,,,20,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171241,19-Oct-2017,12:52:00,1,,41,,0,9,,,,,,,,,,,,,,15,29,26317,,,,10,28635,,,,15,25722,,,,18,2365,,,,32,23580,,,,12,13252,,,,25,19394,,,,24,31457,,,,21,4091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171241,23-Oct-2017,23:08:45,1,,57,53,0,7,,,,,,,,,,,,,,15,17,23072,,,,30,2134,,,,3,3973,,,,28,9031,,,,22,2108,,,,11,21011,,,,6,11934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171241,27-Oct-2017,02:36:09,1,,68,82,0,4,,,,,,,,,,,,,,15,17,23544,,,,19,26829,,,,6,14129,,,,2,21976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171241,29-Oct-2017,03:52:18,1,,75,104,0,7,,,,,,,,,,,,,,15,5,11088,,,,6,18552,,,,13,3579,,,,2,8534,,,,19,16360,,,,15,4104,,,,9,17035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171241,31-Oct-2017,09:00:21,1,,83,122,0,8,,,,,,,,,,,,,,15,12,4241,,,,24,32611,,,,15,25481,,,,5,3810,,,,20,30190,,,,25,20603,,,,18,13911,,,,13,16554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171241,02-Nov-2017,20:48:28,1,,92,,0,9,,,,,,,,,,,,,,15,7,24253,,,,22,18345,,,,1,7256,,,,3,3681,,,,16,8347,,,,30,20082,,,,8,30950,,,,23,4780,,,,27,31080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171241,03-Nov-2017,16:18:00,1,,95,,0,9,,,,,,,,,,,,,,15,31,28651,,,,4,16360,,,,27,1632,,,,16,1175,,,,21,24879,,,,26,27900,,,,23,6739,,,,8,10454,,,,14,29384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171241,08-Nov-2017,02:17:57,1,,110,202,0,8,,,,,,,,,,,,,,15,6,23505,,,,17,32208,,,,7,9478,,,,19,9131,,,,5,5230,,,,9,14474,,,,2,5340,,,,30,31784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
