DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt
171241,171241,,Mk10,,15:22:44 06-Jun-2017,15:22:45 06-Jun-2017,1,3,47.6770,-122.1360,CRC,0,0,,,,1.008,0.120,,-1.0,0.0,0,,,,,,,,,,,255,33,33,80,,,,,,,,41,7,,
171241,171241,,Mk10,,,15:23:45 06-Jun-2017,,3,47.6770,-122.1360,CRC,0,0,,40,3.504,1.000,0.120,21.80,-1.0,0.0,0,,,,,,,,,,,255,33,33,80,,,,,,,,41,7,,
171241,171241,,Mk10,,15:24:44 06-Jun-2017,15:24:45 06-Jun-2017,1,3,47.6770,-122.1360,CRC,1,0,,,,1.008,0.120,,-0.5,0.0,0,,,,,,,,,,,255,33,33,80,,,,,,,,41,7,,
171241,171241,,Mk10,,,15:25:45 06-Jun-2017,,3,47.6770,-122.1360,CRC,1,0,,42,3.504,0.992,0.120,21.90,-0.5,0.0,0,,,,,,,,,,,255,33,33,80,,,,,,,,41,7,,
171241,171241,,Mk10,,15:26:44 06-Jun-2017,15:26:45 06-Jun-2017,1,3,47.6770,-122.1360,CRC,1,0,,,,1.008,0.120,,-1.0,0.0,0,,,,,,,,,,,255,33,33,80,,,,,,,,41,7,,
171241,171241,,Mk10,,,15:53:45 06-Jun-2017,,3,47.6760,-122.1300,CRC,1,0,,70,3.504,1.008,0.120,22.50,-0.5,0.0,0,,,,,,,,,,,255,33,33,80,,,,,,,,41,7,,
171241,171241,,Mk10,,15:54:44 06-Jun-2017,15:54:45 06-Jun-2017,1,3,47.6760,-122.1300,CRC,1,0,,,,1.000,0.120,,-0.5,0.0,0,,,,,,,,,,,255,33,33,80,,,,,,,,41,7,,
171241,171241,,Mk10,,,15:55:45 06-Jun-2017,,3,47.6760,-122.1300,CRC,1,0,,72,3.504,1.008,0.120,22.50,-0.5,0.0,0,,,,,,,,,,,255,33,33,80,,,,,,,,41,7,,
171241,171241,,Mk10,,15:56:44 06-Jun-2017,15:56:45 06-Jun-2017,1,3,47.6760,-122.1300,CRC,1,0,,,,1.008,0.120,,-1.0,0.0,0,,,,,,,,,,,255,33,33,80,,,,,,,,41,7,,
171241,171241,,Mk10,,,15:57:45 06-Jun-2017,,3,47.6760,-122.1300,CRC,1,0,,74,3.504,1.008,0.120,22.50,-1.0,0.0,0,,,,,,,,,,,255,33,33,80,,,,,,,,41,7,,
171241,171241,,Mk10,,15:58:44 06-Jun-2017,15:58:45 06-Jun-2017,1,3,47.6760,-122.1300,CRC,1,0,,,,1.008,0.120,,-1.0,0.0,0,,,,,,,,,,,255,33,33,80,,,,,,,,41,7,,
171241,171241,,Mk10,,,16:15:45 06-Jun-2017,,B,47.6770,-122.1280,CRC,1,0,,92,3.504,1.008,0.120,22.80,-1.0,0.0,0,,,,,,,,,,,255,33,33,80,,,,,,,,41,7,,
171241,171241,,Mk10,,17:08:44 06-Jun-2017,17:08:45 06-Jun-2017,1,A,47.6770,-122.1290,CRC,1,0,,,,1.000,0.120,,-0.5,0.0,0,,,,,,,,,,,255,33,33,80,,,,,,,,41,7,,
171241,171241,,Mk10,,,17:09:45 06-Jun-2017,,A,47.6770,-122.1290,CRC,1,0,,146,3.504,1.008,0.120,23.30,-0.5,0.0,0,,,,,,,,,,,255,33,33,80,,,,,,,,41,7,,
171241,171241,,Mk10,,17:10:44 06-Jun-2017,17:10:45 06-Jun-2017,1,A,47.6770,-122.1290,CRC,1,0,,,,1.008,0.120,,-0.5,0.0,0,,,,,,,,,,,255,33,33,80,,,,,,,,41,7,,
171241,171241,,Mk10,,,17:35:45 06-Jun-2017,,2,47.6800,-122.1290,CRC,1,0,,172,3.504,1.008,0.124,23.40,0.0,0.0,0,,,,,,,,,,,255,33,33,80,,,,,,,,41,7,,
