DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
166339,166339,Mk10,Strong,07-Oct-2016,18:56:44,07-Oct-2016,18:56:45
166339,166339,Mk10,Strong,15-Feb-2017,08:19:10,15-Feb-2017,08:19:10
