Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
5861,171260,3,NP,3,3,09-Aug-2018,06:37:41,13.2561,144.6842,,401677458,-127,50,0,09-Aug-2018,06:35:01,13.2561,144.6842,360,156,359,67,80,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,171260,23,NP,3,3,09-Aug-2018,06:37:41,13.2561,144.6842,,401677458,-127,50,0,09-Aug-2018,06:38:01,13.2561,144.6842,360,156,359,67,80,,,79,48,90,12,104,39,122,18,84,154,93,66,84,0,216,248,1,255,255,217,208,0,0,,,,,,,,,
5861,171260,3,NP,3,3,09-Aug-2018,06:37:41,13.2561,144.6842,,401677458,-127,50,0,09-Aug-2018,06:38:46,13.2561,144.6842,360,156,359,67,80,,,27,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,171260,3,NP,3,3,09-Aug-2018,06:37:41,13.2561,144.6842,,401677458,-127,50,0,09-Aug-2018,06:40:16,13.2561,144.6842,360,156,359,67,80,,,68,154,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,171260,3,NP,3,3,09-Aug-2018,06:37:41,13.2561,144.6842,,401677458,-127,50,2,09-Aug-2018,06:41:01,13.2561,144.6842,360,156,359,67,80,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,171260,3,NK,B,4,09-Aug-2018,07:30:03,13.2560,144.6842,,401677458,-137,8,0,09-Aug-2018,07:30:03,13.2560,144.6842,,1420,1486,1356,98,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,171260,23,SR,B,5,09-Aug-2018,07:40:54,13.2472,144.6805,,401677469,-131,8,0,09-Aug-2018,07:40:54,13.2472,144.6805,46,1120,2527,496,104,,,72,176,90,12,104,39,122,18,84,158,139,130,84,1,60,246,1,246,255,214,128,0,0,,,,,,,,,
5861,171260,3,SR,B,5,09-Aug-2018,07:40:54,13.2472,144.6805,,401677469,-131,8,0,09-Aug-2018,07:41:40,13.2472,144.6805,46,1120,2527,496,104,,,24,17,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,171260,3,SR,B,6,09-Aug-2018,09:16:27,13.2425,144.6785,,401677470,-135,8,0,09-Aug-2018,09:16:28,13.2425,144.6785,,1842,2640,1285,107,,,43,180,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,171260,3,NK,B,7,09-Aug-2018,09:16:27,13.2403,144.6766,,401677463,-129,,0,09-Aug-2018,09:16:28,13.2403,144.6766,,1368,2630,711,112,,,43,180,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,171260,3,MA,B,8,09-Aug-2018,10:54:00,13.2405,144.6743,,401677464,-128,8,0,09-Aug-2018,10:54:00,13.2405,144.6743,,1855,2595,1324,90,,,34,185,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,171260,3,NN,B,9,09-Aug-2018,10:54:00,13.2412,144.6763,,401677465,-127,,0,09-Aug-2018,10:54:00,13.2412,144.6763,,1786,2606,1224,82,,,34,185,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,171260,3,MA,B,10,09-Aug-2018,12:36:45,13.2384,144.6734,,401677467,-125,8,0,09-Aug-2018,12:36:45,13.2384,144.6734,,2207,2994,1626,82,,,53,233,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,171260,3,NP,B,11,10-Aug-2018,06:23:42,13.2023,144.6428,Lat > 4 deviations from mean,401677470,-127,,0,10-Aug-2018,06:23:42,13.2023,144.6428,,4878,5218,4559,66,,,44,10,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,171260,23,NK,B,12,10-Aug-2018,08:44:57,13.2168,144.6569,,401677471,-133,8,0,10-Aug-2018,08:44:58,13.2168,144.6569,,5568,6854,4523,40,,,94,240,90,12,104,39,122,18,85,34,204,67,18,2,134,244,1,125,19,214,148,36,2,,,,,,,,,
5861,171260,3,NN,B,13,10-Aug-2018,08:58:25,13.2354,144.6583,,401677472,-135,6,0,10-Aug-2018,08:58:26,13.2354,144.6583,,4509,8595,2365,72,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,171260,23,MA,B,14,10-Aug-2018,10:35:36,13.2399,144.6604,,401677469,-127,8,0,10-Aug-2018,10:35:36,13.2399,144.6604,,3991,5782,2754,70,,,82,16,90,12,104,39,122,18,85,42,54,194,212,2,194,244,1,202,19,214,113,140,103,,,,,,,,,
5861,171260,23,NN,B,15,10-Aug-2018,10:36:50,13.2383,144.6605,,401677471,-130,6,0,10-Aug-2018,10:35:36,13.2383,144.6605,148,3218,133825,77,70,,,82,16,90,12,104,39,122,18,85,42,54,194,212,2,194,244,1,202,19,6,95,20,168,,,,,,,,,
5861,171260,3,NN,B,15,10-Aug-2018,10:36:50,13.2383,144.6605,,401677471,-130,6,0,10-Aug-2018,10:38:04,13.2383,144.6605,148,3218,133825,77,70,,,35,98,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,171260,3,NP,B,16,10-Aug-2018,19:07:44,13.2411,144.6580,,401677473,-133,8,0,10-Aug-2018,19:07:45,13.2411,144.6580,,4058,8537,1928,61,,,37,173,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,171260,3,SR,B,17,10-Aug-2018,19:50:53,13.2403,144.6585,,401677473,-137,8,0,10-Aug-2018,19:50:53,13.2403,144.6585,,3797,13361,1078,55,,,78,93,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,171260,3,NK,B,18,10-Aug-2018,21:19:04,13.2377,144.6533,,401677473,-127,8,0,10-Aug-2018,21:19:04,13.2377,144.6533,,2258,7688,663,86,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,171260,23,NN,B,19,10-Aug-2018,21:31:28,13.2369,144.6516,,401677470,-135,6,0,10-Aug-2018,21:31:28,13.2369,144.6516,,1748,4541,672,96,,,74,144,90,12,104,39,122,18,85,85,244,193,84,3,168,246,1,255,19,214,80,0,0,,,,,,,,,
5861,171260,23,SR,B,20,11-Aug-2018,08:17:31,13.2426,144.6406,,401677467,-126,8,0,11-Aug-2018,08:17:32,13.2426,144.6406,,3197,6029,1695,124,,,91,240,242,121,160,143,135,2,52,163,100,86,248,43,86,15,236,60,96,244,149,235,33,,,,,,,,,
5861,171260,3,MA,B,21,11-Aug-2018,10:16:02,13.2374,144.6463,,401677467,-135,8,0,11-Aug-2018,10:16:02,13.2374,144.6463,,2819,5379,1477,97,,,32,220,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,171260,3,MA,B,22,11-Aug-2018,11:52:11,13.2367,144.6486,,401677466,-126,8,0,11-Aug-2018,11:52:12,13.2367,144.6486,,2794,5353,1458,85,,,70,113,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5861,171260,23,NP,B,23,11-Aug-2018,18:48:28,13.2318,144.6514,,401677474,-138,8,0,11-Aug-2018,18:48:28,13.2318,144.6514,,3764,5593,2532,78,,,78,112,90,12,120,39,122,18,85,203,4,193,20,5,67,2,1,160,18,214,48,0,0,,,,,,,,,
5861,171260,23,SR,B,24,11-Aug-2018,19:18:32,13.2299,144.6476,,401677473,-131,8,0,11-Aug-2018,19:18:33,13.2299,144.6476,,3397,8852,1303,75,,,84,240,90,12,104,39,122,18,21,205,37,193,212,5,76,254,1,133,18,214,64,0,0,,,,,,,,,
5861,171260,23,SR,B,25,11-Aug-2018,20:55:09,13.2292,144.6445,,401677475,-131,8,0,11-Aug-2018,20:55:09,13.2292,144.6445,,3523,7466,1662,73,,,76,208,90,12,104,39,122,18,81,210,75,253,71,100,165,25,236,171,178,64,78,58,114,,,,,,,,,
