Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
131996,22-May-2016,16:40:38,1,97.000000,75,272,0,6,13.43514,144.63086,11:09:32.025625 23-May-2016,FastGPS,13.43460,144.63104,54,,,5.3,2.0,,,,15,30,27316,,,,6,21482,,,,13,460,,,,19,26252,,,,2,10572,,,,5,29172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,23-May-2016,04:52:08,1,97.000000,77,276,0,6,13.43514,144.63086,11:09:32.025625 23-May-2016,FastGPS,13.43399,144.63152,54,1,,6.9,2.0,,,,15,16,17597,,,,26,1400,,,,4,17626,,,,27,14970,,,,31,26402,,,,23,26358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,23-May-2016,11:07:53,1,98.000000,78,276,0,6,13.43417,144.63115,23:33:58.078750 23-May-2016,FastGPS,13.43514,144.63086,54,,,4.4,1.0,,,,15,28,4794,,,,23,31813,,,,7,22664,,,,3,987,,,,9,7424,,,,8,2964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,23-May-2016,17:25:04,2,98.000000,79,276,0,5,13.43417,144.63115,23:33:58.078750 23-May-2016,FastGPS,13.43445,144.63071,54,1,,1.3,1.1,,,,15,2,18233,,,,13,24479,,,,5,20255,,,,6,6194,,,,24,19728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,23-May-2016,23:32:19,1,98.000000,80,276,0,8,13.43485,144.63071,17:43:51.108750 24-May-2016,FastGPS,13.43417,144.63115,54,2,,13.5,1.1,,,,15,18,3849,,,,29,20508,,,,10,16864,,,,15,30774,,,,4,28334,,,,25,24416,,,,20,8922,,,,22,3910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,24-May-2016,11:39:23,1,98.000000,82,277,0,6,13.43485,144.63071,17:43:51.108750 24-May-2016,FastGPS,13.43557,144.63177,54,,,20.8,0.5,,,,15,17,16332,,,,28,17999,,,,9,9396,,,,30,29864,,,,7,4906,,,,6,20418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,24-May-2016,17:42:12,1,98.000000,83,277,0,6,13.43600,144.63100,10:36:19 25-May-2016,A,13.43485,144.63071,54,,,15.0,1.1,,,,15,5,29880,,,,6,2924,,,,13,17350,,,,29,31134,,,,2,17828,,,,24,29495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,26-May-2016,13:17:49,1,98.000000,90,281,0,4,13.43900,144.61501,20:20:54 26-May-2016,K,13.43390,144.63214,54,,,0.8,1.1,,,,15,9,30241,,,,17,23264,,,,19,1402,,,,5,15874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,27-May-2016,07:45:00,1,98.000000,93,282,0,7,13.43900,144.61501,20:20:54 26-May-2016,K,13.43469,144.63058,54,,,8.4,1.5,,,,15,22,8288,,,,3,22744,,,,16,13358,,,,1,10632,,,,7,6532,,,,27,10092,,,,26,23408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,27-May-2016,19:59:57,1,98.000000,95,283,0,4,13.43469,144.63058,07:46:39.484375 27-May-2016,FastGPS,13.43627,144.62341,54,,,1.5,1.0,,,,15,24,29924,,,,21,10954,,,,20,10221,,,,18,16610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,28-May-2016,02:05:57,2,98.000000,96,283,0,6,13.43475,144.63098,14:15:18.118750 28-May-2016,FastGPS,13.44160,144.61836,54,1,,5.9,1.0,,,,15,31,20039,,,,29,7779,,,,32,25312,,,,4,5973,,,,14,32001,,,,26,10773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,28-May-2016,14:13:39,2,98.000000,98,283,0,6,13.43300,144.62900,19:46:16 28-May-2016,N,13.43475,144.63098,54,,,9.0,1.1,,,,15,6,15221,,,,19,21807,,,,9,21580,,,,17,28288,,,,5,12634,,,,7,7978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,28-May-2016,20:13:30,2,98.000000,99,283,0,6,13.43475,144.63098,14:15:18.118750 28-May-2016,FastGPS,13.43537,144.62631,54,,,9.8,1.1,,,,15,12,31138,,,,5,8707,,,,24,10882,,,,21,682,,,,18,23550,,,,15,4422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,29-May-2016,14:32:15,1,98.000000,102,283,0,4,13.43700,144.62601,20:48:39 29-May-2016,K,13.43513,144.63177,54,,,1.5,1.7,,,,15,6,26628,,,,19,32101,,,,30,32568,,,,17,804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,04-Jun-2016,13:39:55,1,99.000000,125,295,0,6,13.43300,144.63600,11:01:34 05-Jun-2016,B,13.43488,144.63097,54,,,29.2,1.4,,,,15,19,24982,,,,17,8007,,,,7,618,,,,5,2340,,,,6,5416,,,,9,2747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,08-Jun-2016,19:14:35,1,99.000000,141,312,0,5,13.43100,144.64301,19:14:23 09-Jun-2016,N,13.43478,144.63124,54,,,5.1,1.4,,,,15,12,17244,,,,5,21464,,,,20,18380,,,,24,31650,,,,21,24266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,09-Jun-2016,22:04:11,1,99.000000,145,322,0,6,13.43477,144.63077,17:35:08.130312 10-Jun-2016,FastGPS,13.43432,144.63220,54,,,5.2,0.5,,,,15,29,6596,,,,15,10237,,,,10,11817,,,,18,5014,,,,25,18727,,,,20,25606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,10-Jun-2016,17:33:27,1,99.000000,148,325,0,5,13.43100,144.62399,12:19:06 11-Jun-2016,B,13.43477,144.63077,54,,,6.8,2.1,,,,15,20,11296,,,,2,30035,,,,5,28948,,,,15,23706,,,,24,24141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,13-Jun-2016,03:08:00,2,99.000000,157,339,0,6,13.43600,144.62700,20:15:07 12-Jun-2016,N,13.43432,144.63116,54,1,,7.9,1.9,,,,15,21,24738,,,,31,4692,,,,27,2635,,,,4,7839,,,,26,11888,,,,14,20240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,13-Jun-2016,15:15:10,2,99.000000,159,339,0,7,13.43600,144.62700,20:15:07 12-Jun-2016,N,13.43499,144.63087,54,,,20.0,1.0,,,,15,15,7648,,,,13,26117,,,,19,28928,,,,6,4070,,,,30,8133,,,,2,11443,,,,5,20188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,14-Jun-2016,15:31:15,1,100.000000,163,340,0,4,13.43432,144.63120,03:44:52.627188 15-Jun-2016,FastGPS,13.43519,144.63097,54,,,0.7,0.6,,,,15,15,2196,,,,13,14646,,,,6,1713,,,,2,22282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,15-Jun-2016,03:43:12,1,100.000000,165,341,0,7,13.43503,144.63101,17:04:05.171250 15-Jun-2016,FastGPS,13.43432,144.63120,54,1,,13.6,0.6,,,,15,8,17964,,,,27,25742,,,,16,1617,,,,26,7972,,,,4,1340,,,,23,9862,,,,11,30558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,15-Jun-2016,10:29:22,1,100.000000,166,343,0,4,13.43436,144.63095,05:09:43.692188 16-Jun-2016,FastGPS,13.43465,144.63066,54,,,2.0,0.2,,,,15,28,2250,,,,9,28380,,,,17,9276,,,,8,18773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,15-Jun-2016,17:02:25,3,100.000000,167,344,0,6,13.43436,144.63095,05:09:43.692188 16-Jun-2016,FastGPS,13.43503,144.63101,54,,,10.4,0.2,,,,15,24,27509,,,,15,21969,,,,2,30924,,,,13,10435,,,,20,9876,,,,5,21424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,16-Jun-2016,05:08:03,1,100.000000,169,344,0,7,13.43493,144.63097,17:51:07.801875 16-Jun-2016,FastGPS,13.43436,144.63095,54,1,,5.7,0.7,,,,15,26,2472,,,,27,6676,,,,16,27958,,,,7,2667,,,,10,3364,,,,1,23583,,,,4,17384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,16-Jun-2016,17:49:26,1,100.000000,171,345,0,7,13.43300,144.63200,12:46:53 17-Jun-2016,A,13.43493,144.63097,54,,,6.6,1.8,,,,15,5,4686,,,,20,30971,,,,15,266,,,,24,5870,,,,29,12420,,,,21,12088,,,,12,10214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,17-Jun-2016,19:03:31,1,100.000000,175,350,0,5,13.43200,144.62399,12:26:48 18-Jun-2016,A,13.43488,144.63077,54,,,2.4,1.9,,,,15,5,730,,,,24,8864,,,,12,19096,,,,18,22285,,,,21,29980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,18-Jun-2016,07:08:49,1,100.000000,177,352,0,7,13.43488,144.63077,19:05:12.920000 17-Jun-2016,FastGPS,13.43586,144.62808,54,,,12.3,2.0,,,,15,11,24416,,,,22,7379,,,,1,16706,,,,3,21053,,,,8,16564,,,,30,20337,,,,7,10888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,18-Jun-2016,19:35:40,1,100.000000,179,353,0,7,13.43586,144.62808,07:10:30.969531 18-Jun-2016,FastGPS,13.43483,144.63074,54,,,10.7,1.0,,,,15,12,29706,,,,15,16707,,,,20,16014,,,,24,22990,,,,25,11254,,,,18,10548,,,,5,23951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,20-Jun-2016,22:14:36,2,100.000000,187,361,0,6,13.43494,144.63089,18:23:36.852031 21-Jun-2016,FastGPS,13.43560,144.62921,54,,,6.0,1.8,,,,15,29,25240,,,,10,9984,,,,32,9354,,,,25,160,,,,18,31520,,,,14,18473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,21-Jun-2016,18:21:55,1,100.000000,190,369,0,4,13.43300,144.64500,12:38:08 22-Jun-2016,A,13.43494,144.63089,54,,,1.3,1.9,,,,15,5,28690,,,,20,21178,,,,12,19982,,,,24,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,22-Jun-2016,13:28:00,1,100.000000,193,373,0,6,13.43494,144.63089,18:23:36.852031 21-Jun-2016,FastGPS,13.43500,144.63078,54,,,5.4,2.0,,,,15,6,10830,,,,13,7306,,,,19,29112,,,,17,22943,,,,5,22976,,,,2,31288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,24-Jun-2016,21:58:24,1,101.000000,202,380,0,7,13.43500,144.63052,11:04:20.732031 25-Jun-2016,FastGPS,13.43511,144.63054,54,,,17.3,1.7,,,,15,29,25846,,,,25,576,,,,18,31364,,,,10,10022,,,,31,20150,,,,32,11050,,,,14,13896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,25-Jun-2016,11:02:38,1,101.000000,204,382,0,4,13.43500,144.63000,09:55:16 26-Jun-2016,R,13.43500,144.63052,54,,,0.9,1.7,,,,15,9,6045,,,,19,14924,,,,17,17484,,,,23,27627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,27-Jun-2016,01:24:35,1,101.000000,210,388,0,4,13.43000,144.62199,20:46:14 27-Jun-2016,N,13.43668,144.62849,54,,,1.0,1.7,,,,15,32,27054,,,,14,27634,,,,27,5908,,,,31,21618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,29-Jun-2016,03:28:45,1,101.000000,218,392,0,6,13.43400,144.62700,21:03:51 29-Jun-2016,R,13.43404,144.63144,54,1,,1.6,2.2,,,,15,31,10915,,,,11,4123,,,,4,3329,,,,10,1622,,,,8,2892,,,,1,20016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131996,02-Jul-2016,00:30:13,1,101.000000,229,397,0,5,13.43400,144.62601,19:57:27 01-Jul-2016,R,13.43429,144.62985,54,1,,8.3,1.9,,,,15,16,31901,,,,26,27320,,,,31,27728,,,,27,2248,,,,4,21548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
