DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
131996,131996,Mk10,17:27:03 12-Jun-2016,,,B,13.4400,144.6030,CRC 3655.28230,06:00:00 06-Jun-2016,TAT,32,228,113,140,96,152,120,,,,,,,,,,,,,,,,,,,,,,,,,
131996,131996,Mk10,20:17:10 12-Jun-2016,,,3,13.4360,144.6270,CRC 41267.17838,06:00:00 05-Jun-2016,TAT,42,19,49,138,96,154,120,24,35,145,121,,,,,,,,,,,,,,,,,,,,,
131996,131996,Mk10,21:34:47 12-Jun-2016,,,B,13.4380,144.6310,CRC 19923.48469,12:00:00 12-Jun-2016,TAT,36,221,49,152,192,154,113,18,35,98,110,,,,,,,,,,,,,,,,,,,,,
131996,131996,Mk10,21:35:36 12-Jun-2016,,,B,13.4380,144.6310,CRC 65313.44977,04:10:00 10-Jun-2016,Fast-GPS,127,242,17,148,68,160,22,73,201,32,130,232,158,210,191,113,99,114,169,26,73,12,77,,,,,,,,,
131996,131996,Mk10,06:15:15 13-Jun-2016,,,B,13.4130,144.6310,CRC 16766.26202,06:00:00 09-Jun-2016,DiveDuration,68,23,225,146,96,110,129,0,28,0,33,33,8,160,24,,,,,,,,,,,,,,,,,
131996,131996,Mk10,09:04:00 13-Jun-2016,,,B,13.4360,144.6280,CRC 57421.35088,00:00:00 08-Jun-2014,DiveDuration,78,4,217,144,4,76,196,100,40,140,201,48,9,227,138,,,,,,,,,,,,,,,,,
131996,131996,Mk10,19:24:39 13-Jun-2016,,,B,13.4350,144.6520,CRC 44320.44310,00:00:00 13-Jun-2016,DiveDuration,74,210,1,154,0,110,131,16,4,8,16,32,0,200,0,,,,,,,,,,,,,,,,,
131996,131996,Mk10,19:42:22 13-Jun-2016,,,B,13.4350,144.6500,CRC 12504.49753,00:00:00 13-Jun-2016,TAT,35,13,129,154,0,155,55,124,128,0,70,,,,,,,,,,,,,,,,,,,,,
131996,131996,Mk10,21:01:08 13-Jun-2016,,,B,13.4330,144.6550,CRC 9013.57675,06:00:00 12-Jun-2016,TAT,34,51,81,152,96,154,120,24,39,28,6,,,,,,,,,,,,,,,,,,,,,
131996,131996,Mk10,23:20:11 13-Jun-2016,,,B,13.4370,144.6500,CRC 49939.47212,,TAT,44,49,49,151,198,148,76,142,196,12,243,,,,,,,,,,,,,,,,,,,,,
131996,131996,Mk10,08:19:13 14-Jun-2016,,,B,13.4400,144.6410,CRC 47104.61312,06:00:00 10-Jun-2016,DiveDuration,75,128,1,148,100,188,66,138,28,2,8,0,128,0,0,,,,,,,,,,,,,,,,,
131996,131996,Mk10,19:59:21 14-Jun-2016,,,A,13.4350,144.6270,CRC 58195.17350,03:19:19 14-Jun-2016,Fast-GPS,126,53,49,156,53,52,227,240,99,80,5,10,26,242,21,130,121,217,182,9,237,59,78,189,42,221,152,205,102,115,48,
