DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
178540,178540,Mk10,Strong,13-Jul-2022,08:12:52,13-Jul-2022,08:13:55
178540,178540,Mk10,Strong,07-Aug-2022,00:19:59,07-Aug-2022,00:21:02
