DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
176773,176773,Mk10,22:41:12 06-Aug-2018,Argos,3,47.6744,-122.1418,209,430,101,83,,,,,,Speed to avg loc 74 x median
176773,176773,Mk10,00:12:12 07-Aug-2018,Argos,1,47.6756,-122.1561,1202,3574,404,133,,,,,,Speed to avg loc 74 x median
176773,176773,Mk10,00:22:12 07-Aug-2018,Argos,2,47.6860,-122.1305,388,1090,137,97,,,,,,Speed to avg loc 74 x median
176773,176773,Mk10,01:15:12 07-Aug-2018,Argos,2,47.6694,-122.1434,308,704,135,124,,,,,,Speed to avg loc 74 x median
176773,176773,Mk10,01:46:52 07-Aug-2018,Argos,2,47.6809,-122.1337,333,1869,59,71,,,,,,Speed to avg loc 74 x median
176773,176773,Mk10,01:47:04 07-Aug-2018,Argos,3,47.6734,-122.1389,210,494,88,110,,,,,,Speed to avg loc 74 x median
176773,176773,Mk10,02:06:12 07-Aug-2018,Argos,B,47.6757,-122.1364,2315,3139,1707,82,,,,,,Speed to avg loc 74 x median
176773,176773,Mk10,08:45:58 04-Jun-2019,Argos,1,15.4978,135.3219,717,1776,289,115,,,,,,
176773,176773,Mk10,09:16:29 04-Jun-2019,Argos,Z,13.5449,135.4404,4009,13358,1203,88,,,,,,
176773,176773,Mk10,09:33:10 04-Jun-2019,Argos,B,15.5321,135.3349,4964,5263,4682,99,,,,,,
176773,176773,Mk10,10:00:24 04-Jun-2019,Argos,Z,15.1943,135.7566,97629,102064,93386,84,,,,,,
176773,176773,Mk10,11:19:18 04-Jun-2019,Argos,A,10.4478,131.7417,852,15371,47,55,,,,,,Lat > 4 deviations from mean
176773,176773,Mk10,11:33:09 04-Jun-2019,Argos,B,13.4250,144.5659,937,1821,482,97,,,,,,Rate of Travel: 141.7 m/s
176773,176773,Mk10,18:21:40 04-Jun-2019,Argos,B,13.4312,144.5644,2510,3715,1696,80,,,,,,Rate of Travel: 32.2 m/s
176773,176773,Mk10,21:48:29 04-Jun-2019,Argos,B,13.4336,144.5661,3157,4067,2450,83,,,,,,Rate of Travel: 23.1 m/s
176773,176773,Mk10,22:29:12 04-Jun-2019,Argos,0,13.4464,144.6389,10096,26710,3815,176,,,,,,Rate of Travel: 22.1 m/s
176773,176773,Mk10,23:34:11 04-Jun-2019,Argos,B,13.4534,144.6739,6673,10632,4188,177,,,,,,Rate of Travel: 20.4 m/s
176773,176773,Mk10,00:46:35 05-Jun-2019,Argos,B,13.4346,144.7085,3548,7314,1721,88,,,,,,Rate of Travel: 18.9 m/s
176773,176773,Mk10,01:06:33 05-Jun-2019,Argos,B,13.4321,144.6682,2089,4983,875,89,,,,,,Rate of Travel: 18.4 m/s
176773,176773,Mk10,05:37:13 05-Jun-2019,Argos,B,13.4429,144.7824,2220,6670,738,105,,,,,,Rate of Travel: 14.4 m/s
176773,176773,Mk10,07:17:27 05-Jun-2019,Argos,B,13.4415,144.7822,3216,9294,1113,108,,,,,,Rate of Travel: 13.3 m/s
176773,176773,Mk10,08:43:39 05-Jun-2019,Argos,B,13.4471,144.7780,3726,9177,1512,96,,,,,,Rate of Travel: 12.5 m/s
176773,176773,Mk10,11:21:27 05-Jun-2019,Argos,A,13.4670,144.6686,2328,5550,976,47,,,,,,Rate of Travel: 11.1 m/s
176773,176773,Mk10,11:46:48 05-Jun-2019,Argos,A,13.4649,144.6733,2294,13019,404,64,,,,,,Rate of Travel: 10.9 m/s
176773,176773,Mk10,12:14:24 05-Jun-2019,Argos,B,13.4452,144.6373,934,1612,540,99,,,,,,Rate of Travel: 10.7 m/s
176773,176773,Mk10,18:10:59 05-Jun-2019,Argos,A,13.4420,144.6375,602,4070,89,161,,,,,,Rate of Travel: 8.7 m/s
176773,176773,Mk10,19:18:32 05-Jun-2019,Argos,B,13.4420,144.6340,817,4076,163,124,,,,,,Rate of Travel: 8.5 m/s
176773,176773,Mk10,22:03:25 05-Jun-2019,Argos,B,13.4484,144.6440,1133,4148,309,39,,,,,,Rate of Travel: 7.8 m/s
176773,176773,Mk10,23:08:23 05-Jun-2019,Argos,A,13.4513,144.6430,1091,4697,253,51,,,,,,Rate of Travel: 7.6 m/s
176773,176773,Mk10,07:43:43 06-Jun-2019,Argos,A,13.4537,144.6340,1358,7561,243,153,,,,,,
176773,176773,Mk10,10:11:31 06-Jun-2019,Argos,B,13.4430,144.6450,1564,2129,1148,93,,,,,,
176773,176773,Mk10,18:03:17 06-Jun-2019,Argos,B,13.4356,144.6590,2956,4240,2060,119,,,,,,
176773,176773,Mk10,19:41:59 06-Jun-2019,Argos,B,13.4478,144.6478,2698,5290,1375,85,,,,,,
176773,176773,Mk10,20:55:24 06-Jun-2019,Argos,A,13.4485,144.6267,158,333,75,77,,,,,,
176773,176773,Mk10,21:50:02 06-Jun-2019,Argos,B,13.4497,144.6233,999,1090,915,89,,,,,,
176773,176773,Mk10,22:41:56 06-Jun-2019,Argos,B,13.4506,144.6217,1403,1488,1322,98,,,,,,
176773,176773,Mk10,23:36:52 06-Jun-2019,Argos,B,13.4434,144.6261,3130,3458,2832,82,,,,,,
176773,176773,Mk10,00:02:49 07-Jun-2019,Argos,B,13.4459,144.6243,2948,4564,1904,103,,,,,,
176773,176773,Mk10,07:59:59 07-Jun-2019,Argos,0,13.4514,144.6408,1920,5930,621,143,,,,,,
176773,176773,Mk10,08:52:31 07-Jun-2019,Argos,A,13.4504,144.6294,639,1656,246,1,,,,,,
176773,176773,Mk10,09:51:49 07-Jun-2019,Argos,B,13.4475,144.6246,1118,1142,1095,131,,,,,,
176773,176773,Mk10,12:15:44 07-Jun-2019,Argos,3,13.4464,144.6279,231,673,79,2,,,,,,
176773,176773,Mk10,19:28:13 07-Jun-2019,Argos,B,13.4461,144.6279,2238,4755,1053,106,,,,,,
176773,176773,Mk10,22:03:01 07-Jun-2019,Argos,B,13.4463,144.6100,2855,4903,1662,100,,,,,,
176773,176773,Mk10,22:27:00 07-Jun-2019,Argos,1,13.4452,144.6471,1324,5155,339,32,,,,,,
176773,176773,Mk10,23:04:21 07-Jun-2019,Argos,B,13.4545,144.6484,1054,1489,745,54,,,,,,
176773,176773,Mk10,06:39:28 08-Jun-2019,Argos,B,13.4701,144.6433,1884,63516,55,40,,,,,,
176773,176773,Mk10,07:36:46 08-Jun-2019,Argos,B,13.4690,144.6383,2140,6025,760,38,,,,,,
176773,176773,Mk10,08:14:59 08-Jun-2019,Argos,B,13.4665,144.6341,2202,4588,1056,40,,,,,,
176773,176773,Mk10,09:33:59 08-Jun-2019,Argos,B,13.4622,144.6317,2356,4029,1377,48,,,,,,
176773,176773,Mk10,09:59:52 08-Jun-2019,Argos,B,13.4662,144.6198,2054,2819,1496,45,,,,,,
176773,176773,Mk10,10:29:36 08-Jun-2019,Argos,A,13.4513,144.6274,573,9350,35,65,,,,,,
176773,176773,Mk10,12:12:12 08-Jun-2019,Argos,B,13.4546,144.6238,1346,1580,1146,59,,,,,,
176773,176773,Mk10,19:27:42 08-Jun-2019,Argos,B,13.4664,144.6072,2934,3409,2525,23,,,,,,
176773,176773,Mk10,21:05:49 08-Jun-2019,Argos,B,13.4485,144.6200,1650,7799,349,76,,,,,,
176773,176773,Mk10,22:48:03 08-Jun-2019,Argos,0,13.4414,144.6460,2037,4702,882,49,,,,,,
176773,176773,Mk10,00:30:07 09-Jun-2019,Argos,B,13.4392,144.6482,2039,2827,1470,45,,,,,,
176773,176773,Mk10,06:30:33 09-Jun-2019,Argos,0,13.4553,144.6536,1600,11725,218,94,,,,,,
176773,176773,Mk10,08:44:49 09-Jun-2019,Argos,B,13.4539,144.6463,1928,2771,1341,101,,,,,,
176773,176773,Mk10,10:32:12 09-Jun-2019,Argos,B,13.4543,144.6462,2355,3175,1745,102,,,,,,
176773,176773,Mk10,12:35:22 09-Jun-2019,Argos,B,13.4542,144.6475,2740,3598,2085,99,,,,,,
176773,176773,Mk10,18:53:26 09-Jun-2019,Argos,B,13.4587,144.6463,3362,4539,2490,63,,,,,,
176773,176773,Mk10,19:08:04 09-Jun-2019,Argos,B,13.4490,144.6389,2613,6410,1064,97,,,,,,
176773,176773,Mk10,20:28:45 09-Jun-2019,Argos,B,13.4490,144.6398,2827,6223,1284,97,,,,,,
176773,176773,Mk10,21:15:05 09-Jun-2019,Argos,1,13.4487,144.6266,552,2004,151,101,,,,,,
176773,176773,Mk10,22:26:14 09-Jun-2019,Argos,A,13.4462,144.6372,2740,2989,2511,10,,,,,,
