DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
152569,152569,,Mk10,06:00:00 23-Jan-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 23-Jan-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,00:00:00 24-Jan-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,12:00:00 26-Jan-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,00:00:00 27-Jan-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,06:00:00 28-Jan-2016,,,,0.000000,0.000000,Status,,,
152569,152569,,Mk10,12:00:00 28-Jan-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 28-Jan-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,12:00:00 29-Jan-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 29-Jan-2016,,,,0.000000,0.000000,Status,,,
152569,152569,,Mk10,06:00:00 01-Feb-2016,,,,0.000000,0.000000,Status,,,
152569,152569,,Mk10,00:00:00 02-Feb-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 02-Feb-2016,,,,0.000000,0.000000,Status,,,
152569,152569,,Mk10,12:00:00 03-Feb-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 03-Feb-2016,,,,0.000000,0.000000,Status,,,
152569,152569,,Mk10,06:00:00 04-Feb-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,00:00:00 06-Feb-2016,,,,0.000000,0.000000,Status,,,
152569,152569,,Mk10,18:00:00 07-Feb-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,00:00:00 08-Feb-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,00:00:00 17-Feb-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,06:00:00 19-Feb-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 22-Feb-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 23-Feb-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,00:00:00 24-Feb-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 26-Feb-2016,,,,0.000000,0.000000,Status,,,
152569,152569,,Mk10,00:00:00 27-Feb-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,00:00:00 02-Mar-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,06:00:00 03-Mar-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 03-Mar-2016,,,,0.000000,0.000000,Status,,,
152569,152569,,Mk10,00:00:00 04-Mar-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,18:00:00 07-Mar-2016,,,,0.000000,0.000000,Fast-GPS,,,
152569,152569,,Mk10,00:00:00 09-Mar-2016,,,,0.000000,0.000000,Fast-GPS,,,
