Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
5947,166350,23,P, ,3,17-May-2017,04:04:36,,,,,,,0,17-May-2017,04:04:36,,,,,,,,,,65,240,90,12,40,134,165,98,57,144,81,194,84,0,165,10,1,251,255,222,24,36,4,,,,,,,,,
5947,166350,23,P,1,4,17-May-2017,05:41:58,11.5840,136.5590,Speed to avg loc 388 x median,401677504,-124,,0,17-May-2017,05:42:43,,,96,,,,,,,85,112,90,12,40,130,165,98,56,150,179,129,150,1,159,12,1,119,255,216,210,56,179,,,,,,,,,
5947,166350,3,P,1,4,17-May-2017,05:41:58,11.5840,136.5590,Speed to avg loc 388 x median,401677504,-124,,1,17-May-2017,05:43:29,,,96,,,,,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5947,166350,3,P,1,4,17-May-2017,05:41:58,11.5840,136.5590,Speed to avg loc 388 x median,401677504,-124,,0,17-May-2017,05:44:19,,,96,,,,,,,41,209,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5947,166350,3,R,B,5,17-May-2017,07:42:40,13.4560,144.6340,,401677504,-130,,0,17-May-2017,07:41:29,,,142,,,,,,,46,234,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5947,166350,3,R,B,5,17-May-2017,07:42:40,13.4560,144.6340,,401677504,-130,,0,17-May-2017,07:43:51,,,142,,,,,,,66,117,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5947,166350,3,N,B,6,17-May-2017,09:12:16,13.4540,144.6340,,401677494,-128,,0,17-May-2017,09:12:17,,,,,,,,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5947,166350,31,B,B,7,18-May-2017,00:17:44,13.4390,144.6290,,401677497,-132,,0,18-May-2017,00:17:44,,,,,,,,,,34,87,39,0,0,6,4,65,72,0,48,247,129,1,28,15,55,252,239,233,114,239,255,207,255,207,255,254,29,255,251,
5947,166350,3,P,B,8,18-May-2017,05:28:41,13.4310,144.6270,,401677493,-139,,0,18-May-2017,05:28:41,,,,,,,,,,43,53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5947,166350,3,K,A,9,18-May-2017,07:47:06,13.4420,144.6370,,401677495,-133,,0,18-May-2017,07:44:22,,,343,,,,,,,75,137,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5947,166350,3,K,A,9,18-May-2017,07:47:06,13.4420,144.6370,,401677495,-133,,0,18-May-2017,07:46:52,,,343,,,,,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5947,166350,23,K,A,9,18-May-2017,07:47:06,13.4420,144.6370,,401677495,-133,,0,18-May-2017,07:50:05,,,343,,,,,,,81,208,90,12,40,130,165,98,57,31,41,2,20,74,202,14,0,252,242,49,134,212,36,,,,,,,,,
5947,166350,3,R,B,10,18-May-2017,08:48:25,13.4430,144.6380,,401677495,-135,,0,18-May-2017,08:48:25,,,,,,,,,,42,127,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5947,166350,3,N,B,11,18-May-2017,08:56:04,13.4430,144.6380,,401677497,-127,,0,18-May-2017,08:56:05,,,,,,,,,,64,111,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5947,166350,3,K,B,12,18-May-2017,09:24:09,13.4430,144.6320,,401677497,-126,,0,18-May-2017,09:24:10,,,,,,,,,,40,132,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5947,166350,3,A,B,13,18-May-2017,10:34:42,13.4420,144.6320,,401677498,-128,,0,18-May-2017,10:34:43,,,,,,,,,,42,142,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5947,166350,3,P,B,14,18-May-2017,16:25:14,13.4030,144.5900,Lat > 4 deviations from mean,401677491,-133,,0,18-May-2017,16:24:52,,,44,,,,,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5947,166350,23,P,B,14,18-May-2017,16:25:14,13.4030,144.5900,Lat > 4 deviations from mean,401677491,-133,,0,18-May-2017,16:25:36,,,44,,,,,,,88,112,90,12,40,130,165,98,57,65,161,194,212,3,127,16,1,255,17,214,112,0,0,,,,,,,,,
5947,166350,3,R,B,15,18-May-2017,19:52:43,13.4330,144.5690,Lon > 4 deviations from mean,401677506,-124,,0,18-May-2017,19:52:44,,,,,,,,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5947,166350,3,K,A,16,18-May-2017,20:13:19,13.4370,144.6240,,401677498,-127,,0,18-May-2017,20:11:16,,,545,,,,,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5947,166350,3,K,A,16,18-May-2017,20:13:19,13.4370,144.6240,,401677498,-127,,0,18-May-2017,20:13:20,,,545,,,,,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5947,166350,3,K,A,16,18-May-2017,20:13:19,13.4370,144.6240,,401677498,-127,,0,18-May-2017,20:20:21,,,545,,,,,,,32,227,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5947,166350,3,N,B,17,18-May-2017,21:33:01,13.4120,144.5850,Lat > 4 deviations from mean,401677477,-128,,0,18-May-2017,21:33:01,,,,,,,,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5947,166350,3,P,A,18,19-May-2017,05:14:59,13.4450,144.6370,,401677493,-129,,0,19-May-2017,05:14:59,,,348,,,,,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5947,166350,23,P,A,18,19-May-2017,05:14:59,13.4450,144.6370,,401677493,-129,,0,19-May-2017,05:17:55,,,348,,,,,,,94,240,90,12,40,130,165,98,57,149,38,130,152,4,71,16,11,78,17,216,32,0,0,,,,,,,,,
5947,166350,3,P,A,18,19-May-2017,05:14:59,13.4450,144.6370,,401677493,-129,,0,19-May-2017,05:20:47,,,348,,,,,,,73,131,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5947,166350,3,R,B,19,19-May-2017,08:17:00,13.4430,144.6410,,401677491,-125,,0,19-May-2017,08:15:06,,,229,,,,,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5947,166350,23,R,B,19,19-May-2017,08:17:00,13.4430,144.6410,,401677491,-125,,0,19-May-2017,08:18:55,,,229,,,,,,,92,144,90,12,40,130,165,98,57,161,54,130,20,4,171,14,1,88,17,216,176,0,0,,,,,,,,,
5947,166350,3,N,B,20,19-May-2017,08:47:08,13.4450,144.6360,,401677495,-127,,0,19-May-2017,08:47:08,,,,,,,,,,77,118,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5947,166350,3,K,B,21,19-May-2017,08:57:31,13.4450,144.6350,,401677495,-130,,0,19-May-2017,08:57:32,,,,,,,,,,26,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
