DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
149129,149129,Mk10,Strong,03-May-2015,18:28:07,03-May-2015,18:28:08
149129,149129,Mk10,Strong,14-Jun-2016,22:57:41,14-Jun-2016,22:57:59
149129,149129,Mk10,Strong,23-Feb-2018,11:07:24,23-Feb-2018,11:07:44
