DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
234080,234080,,Mk10,,,13:16:42 15-Aug-2023,,2,13.5937,144.9084,CRC,1,0,,418,3.568,1.224,0.120,27.70,,-40.0,0,,,,,,,,,,,255,255,255,80,,,,,,,,33,1,0,,,,,,,,,,
234080,234080,,Mk10,,,18:21:53 15-Aug-2023,,0,13.5971,144.9174,CRC,0,0,,546,3.504,1.224,0.112,29.10,,-40.0,0,,,,,,,,,,,255,255,255,92,16,,,,,,,38,2,0,,,,,,,,,,
234080,234080,,Mk10,,07:56:29 16-Aug-2023,21:56:30 15-Aug-2023,-35998,3,13.6356,144.8867,CRC,0,0,,,,1.224,0.148,,,-40.0,0,,,,,,,,,,,255,255,255,92,16,,,,,,,39,1,0,,,,,,,,,,
234080,234080,,Mk10,,,22:53:25 15-Aug-2023,,B,13.6420,144.8832,CRC,0,0,,610,3.440,1.224,0.196,29.50,,-40.0,0,,,,,,,,,,,255,255,255,92,16,,,,,,,40,1,0,,,,,,,,,,
234080,234080,,Mk10,,20:00:42 16-Aug-2023,10:00:43 16-Aug-2023,-35998,3,13.5567,144.8047,CRC,0,0,,,,1.224,0.152,,,-40.0,0,,,,,,,,,,,255,255,255,82,16,,,,,,,48,2,0,,,,,,,,,,
234080,234080,,Mk10,,,20:15:03 16-Aug-2023,,B,13.4831,144.7333,CRC,0,0,,866,3.440,1.224,0.140,29.40,,-40.0,0,,,,,,,,,,,223,21,255,82,16,,,,,,,53,2,0,,,,,,,,,,
234080,234080,,Mk10,,09:51:34 17-Aug-2023,23:51:36 16-Aug-2023,-35997,3,13.4708,144.6493,CRC,0,0,,,,1.224,0.144,,,-40.0,0,,,,,,,,,,,255,21,255,82,16,,,,,,,55,2,0,,,,,,,,,,
234080,234080,,Mk10,,17:50:14 17-Aug-2023,07:50:16 17-Aug-2023,-35997,3,13.3470,144.6348,CRC,1,0,,,,1.224,0.124,,,-40.0,0,,,,,,,,,,,255,21,255,82,16,,,,,,,62,4,0,,,,,,,,,,
234080,234080,,Mk10,,,08:02:51 17-Aug-2023,,3,13.3479,144.6295,CRC,0,0,,1186,3.376,1.224,0.136,28.80,,-40.0,0,,,,,,,,,,,255,21,255,82,16,,,,,,,64,4,0,,,,,,,,,,
234080,234080,,Mk10,,01:01:17 18-Aug-2023,15:01:19 17-Aug-2023,-35997,0,13.3073,144.6476,CRC,0,0,,,,1.232,0.140,,,-40.0,0,,,,,,,,,,,204,17,255,82,16,,,,,,,71,4,0,,,,,,,,,,
234080,234080,,Mk10,,05:54:53 18-Aug-2023,19:54:55 17-Aug-2023,-35997,3,13.2441,144.6400,CRC,0,0,,,,1.224,0.128,,,-40.0,0,,,,,,,,,,,255,17,255,82,16,,,,,,,73,4,0,,,,,,,,,,
234080,234080,,Mk10,,,20:27:35 17-Aug-2023,,B,13.2415,144.6422,CRC,0,0,,1378,3.440,1.224,0.148,29.40,,-40.0,0,,,,,,,,,,,183,17,255,82,16,,,,,,,77,4,0,,,,,,,,,,
234080,234080,,Mk10,,07:36:20 18-Aug-2023,21:36:22 17-Aug-2023,-35997,1,13.1898,144.6381,CRC,0,0,,,,1.224,0.204,,,-40.0,0,,,,,,,,,,,255,17,255,82,16,,,,,,,77,4,0,,,,,,,,,,
234080,234080,,Mk10,,,00:38:47 18-Aug-2023,,A,13.1197,144.5957,CRC,0,0,,1506,3.376,1.224,0.136,29.80,,-40.0,0,,,,,,,,,,,113,17,255,82,16,,,,,,,80,5,0,,,,,,,,,,
234080,234080,,Mk10,,10:40:16 20-Aug-2023,00:40:19 20-Aug-2023,-35996,A,13.1367,143.4741,CRC,0,0,,,,1.224,0.144,,,-40.0,0,,,,,,,,,,,125,16,255,82,16,,,,,,,106,10,0,,,,,,,,,,
234080,234080,,Mk10,,18:31:23 20-Aug-2023,08:31:26 20-Aug-2023,-35996,B,13.1093,143.3132,CRC,0,0,,,,1.224,0.144,,,-40.0,0,,,,,,,,,,,245,16,255,82,16,,,,,,,110,10,0,,,,,,,,,,
234080,234080,,Mk10,,22:05:39 20-Aug-2023,12:05:41 20-Aug-2023,-35997,0,13.0903,143.2222,CRC,0,0,,,,1.224,0.132,,,-40.0,0,,,,,,,,,,,255,16,255,82,16,,,,,,,111,10,0,,,,,,,,,,
234080,234080,,Mk10,,10:21:36 21-Aug-2023,00:21:39 21-Aug-2023,-35996,B,13.1119,142.8952,CRC,0,0,,,,1.224,0.140,,,-40.0,0,,,,,,,,,,,255,16,255,82,16,,,,,,,119,12,0,,,,,,,,,,
234080,234080,,Mk10,,10:54:39 22-Aug-2023,00:54:42 22-Aug-2023,-35996,B,13.3181,142.3251,CRC,0,0,,,,1.224,0.152,,,-40.0,0,,,,,,,,,,,212,15,255,82,16,,,,,,,130,12,0,,,,,,,,,,
234080,234080,,Mk10,,21:21:58 24-Aug-2023,11:22:01 24-Aug-2023,-35996,1,13.3229,140.8746,CRC,0,0,,,,1.224,0.140,,,-40.0,0,,,,,,,,,,,251,16,255,82,16,,,,,,,169,17,0,,,,,,,,,,
234080,234080,,Mk10,,,23:51:19 24-Aug-2023,,3,13.4095,140.6458,CRC,0,0,,4386,3.440,1.224,0.136,29.80,,-40.0,0,,,,,,,,,,,255,17,255,82,16,,,,,,,179,18,0,,,,,,,,,,
234080,234080,,Mk10,,,01:29:10 25-Aug-2023,,2,13.4140,140.6461,CRC,0,0,,4450,3.376,1.224,0.244,29.90,,-40.0,0,,,,,,,,,,,255,17,255,82,16,,,,,,,181,18,0,,,,,,,,,,
234080,234080,,Mk10,,11:05:57 26-Aug-2023,01:06:01 26-Aug-2023,-35995,A,13.5546,140.2574,CRC,0,0,,,,1.224,0.140,,,-40.0,0,,,,,,,,,,,255,16,255,82,16,,,,,,,212,31,0,,,,,,,,,,
234080,234080,,Mk10,,,19:44:08 27-Aug-2023,,1,13.8544,139.3116,CRC,0,0,,5858,3.440,1.224,0.176,29.70,,-40.0,0,,,,,,,,,,,255,17,255,82,16,,,,,,,255,42,0,,,,,,,,,,
234080,234080,,Mk10,,12:24:12 28-Aug-2023,02:24:16 28-Aug-2023,-35995,B,13.8050,139.0662,CRC,0,0,,,,1.224,0.272,,,-40.0,0,,,,,,,,,,,169,17,255,82,16,,,,,,,258,42,0,,,,,,,,,,
234080,234080,,Mk10,,,07:10:49 28-Aug-2023,,B,13.8215,138.9837,,0,0,,2407,3.440,,,27.40,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
234080,234080,,Mk10,,06:42:14 29-Aug-2023,20:42:18 28-Aug-2023,-35995,B,13.8948,138.5552,CRC,0,0,,,,1.232,0.144,,,-40.0,0,,,,,,,,,,,234,16,255,82,16,,,,,,,270,46,0,,,,,,,,,,
234080,234080,,Mk10,,,22:28:19 28-Aug-2023,,0,13.8787,138.5756,CRC,0,0,,6370,3.376,1.224,0.256,29.70,,-40.0,0,,,,,,,,,,,254,16,255,82,16,,,,,,,271,46,0,,,,,,,,,,
234080,234080,,Mk10,,01:41:00 30-Aug-2023,15:41:04 29-Aug-2023,-35995,1,13.9955,138.2209,CRC,0,0,,,,1.224,0.132,,,-40.0,0,,,,,,,,,,,255,17,255,82,16,,,,,,,292,58,0,,,,,,,,,,
234080,234080,,Mk10,,05:22:44 30-Aug-2023,19:22:48 29-Aug-2023,-35995,0,14.0324,138.1407,CRC,0,0,,,,1.224,0.132,,,-40.0,0,,,,,,,,,,,153,17,255,82,16,,,,,,,294,58,0,,,,,,,,,,
234080,234080,,Mk10,,19:21:13 30-Aug-2023,09:21:17 30-Aug-2023,-35995,2,14.1412,137.8964,CRC,0,0,,,,1.224,0.196,,,-40.0,0,,,,,,,,,,,255,17,255,82,16,,,,,,,302,59,0,,,,,,,,,,
234080,234080,,Mk10,,20:56:52 30-Aug-2023,10:56:56 30-Aug-2023,-35995,1,14.1442,137.8776,CRC,0,0,,,,1.232,0.200,,,-40.0,0,,,,,,,,,,,255,17,255,82,16,,,,,,,303,59,0,,,,,,,,,,
234080,234080,,Mk10,,22:35:47 30-Aug-2023,12:35:51 30-Aug-2023,-35995,3,14.1591,137.8454,CRC,0,0,,,,1.232,0.148,,,-40.0,0,,,,,,,,,,,158,17,255,82,16,,,,,,,304,60,0,,,,,,,,,,
234080,234080,,Mk10,,20:31:45 31-Aug-2023,10:31:50 31-Aug-2023,-35994,0,14.2316,137.4335,CRC,0,0,,,,1.224,0.148,,,-40.0,0,,,,,,,,,,,255,16,255,82,16,,,,,,,329,64,0,,,,,,,,,,
234080,234080,,Mk10,,,21:34:24 31-Aug-2023,,B,14.2845,137.2049,CRC,0,0,,8034,3.440,1.224,0.196,29.70,,-40.0,0,,,,,,,,,,,221,17,255,82,16,,,,,,,335,65,0,,,,,,,,,,
234080,234080,,Mk10,,,07:41:15 01-Sep-2023,,1,14.3448,137.0307,CRC,0,0,,8226,3.440,1.224,0.136,29.50,,-40.0,0,,,,,,,,,,,255,17,255,82,16,,,,,,,343,69,0,,,,,,,,,,
234080,234080,,Mk10,,21:03:01 01-Sep-2023,11:03:05 01-Sep-2023,-35995,2,14.3818,136.9708,CRC,0,0,,,,1.232,0.148,,,-40.0,0,,,,,,,,,,,255,17,255,82,16,,,,,,,347,71,0,,,,,,,,,,
234080,234080,,Mk10,,17:54:50 02-Sep-2023,07:54:55 02-Sep-2023,-35994,2,14.4086,136.4758,CRC,0,0,,,,1.224,0.136,,,-40.0,0,,,,,,,,,,,124,17,255,82,16,,,,,,,357,72,0,,,,,,,,,,
234080,234080,,Mk10,,,20:34:21 02-Sep-2023,,A,14.3386,136.2185,CRC,0,0,,9250,3.376,1.224,0.148,29.50,,-40.0,0,,,,,,,,,,,245,16,255,82,16,,,,,,,367,76,0,,,,,,,,,,
234080,234080,,Mk10,,,08:43:20 03-Sep-2023,,3,14.4622,135.9525,CRC,0,0,,9442,3.440,1.232,0.168,29.30,,-40.0,0,,,,,,,,,,,193,16,255,82,16,,,,,,,376,80,0,,,,,,,,,,
