DeployID,Ptt,Instr,Id,StartMin,StartMax,EndMin,EndMax,MinDurationMinutes,MaxDurationMinutes,LocationQuality,Latitude,Longitude
176779,176779,Mk10,1,11:56:00 21-Jul-2020,11:56:00 21-Jul-2020,13:40:00 21-Jul-2020,13:40:00 21-Jul-2020,104,104,,,
176779,176779,Mk10,2,13:47:00 22-Jul-2020,13:47:00 22-Jul-2020,14:17:00 22-Jul-2020,14:17:00 22-Jul-2020,30,30,,,
176779,176779,Mk10,3,09:44:00 23-Jul-2020,09:44:00 23-Jul-2020,16:13:00 23-Jul-2020,16:13:00 23-Jul-2020,389,389,,,
176779,176779,Mk10,4,17:36:00 23-Jul-2020,17:37:00 23-Jul-2020,18:28:00 23-Jul-2020,18:28:00 23-Jul-2020,51,52,,,
176779,176779,Mk10,5,09:48:00 24-Jul-2020,09:48:00 24-Jul-2020,14:58:00 24-Jul-2020,14:58:00 24-Jul-2020,310,310,,,
176779,176779,Mk10,6,22:46:00 24-Jul-2020,22:46:00 24-Jul-2020,23:08:00 24-Jul-2020,23:08:00 24-Jul-2020,22,22,,,
176779,176779,Mk10,7,09:31:00 05-Aug-2020,09:31:00 05-Aug-2020,12:36:00 05-Aug-2020,12:36:00 05-Aug-2020,185,185,,,
176779,176779,Mk10,8,03:30:00 09-Aug-2020,03:30:00 09-Aug-2020,03:50:00 09-Aug-2020,03:50:00 09-Aug-2020,20,20,,,
176779,176779,Mk10,9,02:19:00 14-Aug-2020,02:19:00 14-Aug-2020,02:40:00 14-Aug-2020,02:40:00 14-Aug-2020,21,21,,,
176779,176779,Mk10,10,02:52:00 15-Aug-2020,02:52:00 15-Aug-2020,03:14:00 15-Aug-2020,03:14:00 15-Aug-2020,22,22,,,
176779,176779,Mk10,11,19:35:00 17-Aug-2020,19:35:00 17-Aug-2020,20:01:00 17-Aug-2020,20:01:00 17-Aug-2020,26,26,,,
176779,176779,Mk10,12,03:46:00 20-Aug-2020,03:46:00 20-Aug-2020,04:22:00 20-Aug-2020,04:22:00 20-Aug-2020,36,36,,,
176779,176779,Mk10,13,12:58:00 22-Aug-2020,12:58:00 22-Aug-2020,13:32:00 22-Aug-2020,13:32:00 22-Aug-2020,34,34,,,
176779,176779,Mk10,14,19:38:00 26-Aug-2020,19:38:00 26-Aug-2020,20:13:00 26-Aug-2020,20:13:00 26-Aug-2020,35,35,,,
176779,176779,Mk10,15,10:14:00 04-Sep-2020,10:14:00 04-Sep-2020,10:42:00 04-Sep-2020,10:42:00 04-Sep-2020,28,28,,,
176779,176779,Mk10,0,13:59:00 06-Sep-2020,13:59:00 06-Sep-2020,14:20:00 06-Sep-2020,14:20:00 06-Sep-2020,21,21,,,
176779,176779,Mk10,1,04:29:00 09-Sep-2020,04:29:00 09-Sep-2020,04:50:00 09-Sep-2020,04:50:00 09-Sep-2020,21,21,,,
176779,176779,Mk10,2,00:14:00 10-Sep-2020,00:15:00 10-Sep-2020,01:58:00 10-Sep-2020,01:58:00 10-Sep-2020,103,104,,,
